AP Mac Address,AP Name,CCXV,Capabilities,Channel,ChannelWidth,ChannelwidthAp,ChannelwidthClient,ConnRate,ConnScore,Device Type,Heard By,Hostname,MacAddress,NeighborMac,RSSI,SNR,SSID,SpatialStream,Status,Username,epochTime,maxAprate,maxClientrate,spatialstrmAp,spatialstrmClients,volume
80:e8:6f:d8:0a:00,Community-1F-02,0,802.11n (2.4GHz),1,20,20,20,144,100,,,Unknown,b4:f7:a1:8d:1d:3c,,-44,46,WUNIST_AAA,2,260,tjsdn2560,1565890811.709714,217,144,3,2,1305187
80:e8:6f:d8:0a:00,Community-1F-02,0,802.11n (2.4GHz),1,20,20,20,144,100,,,Unknown,b4:f7:a1:8d:1d:3c,,-44,46,WUNIST_AAA,2,264,tjsdn2560,1565890815.72728,217,144,3,2,1305187
80:e8:6f:d8:0a:00,Community-1F-02,0,802.11n (2.4GHz),1,20,20,20,144,100,,,Unknown,b4:f7:a1:8d:1d:3c,,-44,46,WUNIST_AAA,2,268,tjsdn2560,1565890819.863447,217,144,3,2,1305187
80:e8:6f:d8:0a:00,Community-1F-02,0,802.11n (2.4GHz),1,20,20,20,144,100,,,Unknown,b4:f7:a1:8d:1d:3c,,-44,46,WUNIST_AAA,2,272,tjsdn2560,1565890823.879824,217,144,3,2,1305187
80:e8:6f:d8:0a:00,Community-1F-02,0,802.11n (2.4GHz),1,20,20,20,144,100,,,Unknown,b4:f7:a1:8d:1d:3c,,-44,46,WUNIST_AAA,2,276,tjsdn2560,1565890827.898936,217,144,3,2,1305187
80:e8:6f:d8:0a:00,Community-1F-02,0,802.11n (2.4GHz),1,20,20,20,144,100,,,Unknown,b4:f7:a1:8d:1d:3c,,-44,46,WUNIST_AAA,2,281,tjsdn2560,1565890831.915903,217,144,3,2,1305187
80:e8:6f:d8:0a:00,Community-1F-02,0,802.11n (2.4GHz),1,20,20,20,144,100,,,Unknown,b4:f7:a1:8d:1d:3c,,-44,46,WUNIST_AAA,2,285,tjsdn2560,1565890835.933364,217,144,3,2,1305187
80:e8:6f:d8:0a:00,Community-1F-02,0,802.11n (2.4GHz),1,20,20,20,144,100,,,Unknown,b4:f7:a1:8d:1d:3c,,-44,46,WUNIST_AAA,2,289,tjsdn2560,1565890839.950341,217,144,3,2,1305187
80:e8:6f:d8:0a:00,Community-1F-02,0,802.11n (2.4GHz),1,20,20,20,144,100,,,Unknown,b4:f7:a1:8d:1d:3c,,-44,46,WUNIST_AAA,2,293,tjsdn2560,1565890843.966697,217,144,3,2,1305187
80:e8:6f:d8:0a:00,Community-1F-02,0,802.11n (2.4GHz),1,20,20,20,144,100,,,Unknown,b4:f7:a1:8d:1d:3c,,-44,46,WUNIST_AAA,2,297,tjsdn2560,1565890847.985634,217,144,3,2,1305187
80:e8:6f:d8:0a:00,Community-1F-02,0,802.11n (2.4GHz),1,20,20,20,144,100,,,Unknown,b4:f7:a1:8d:1d:3c,,-44,46,WUNIST_AAA,2,301,tjsdn2560,1565890852.002898,217,144,3,2,1305187
80:e8:6f:d8:0a:00,Community-1F-02,0,802.11n (2.4GHz),1,20,20,20,144,100,,,Unknown,b4:f7:a1:8d:1d:3c,,-44,46,WUNIST_AAA,2,305,tjsdn2560,1565890856.024538,217,144,3,2,1305187
80:e8:6f:d8:0a:00,Community-1F-02,0,802.11n (2.4GHz),1,20,20,20,144,100,,,Unknown,b4:f7:a1:8d:1d:3c,,-44,46,WUNIST_AAA,2,309,tjsdn2560,1565890860.041363,217,144,3,2,1305187
80:e8:6f:d8:0a:00,Community-1F-02,0,802.11n (2.4GHz),1,20,20,20,144,100,,,Unknown,b4:f7:a1:8d:1d:3c,,-44,46,WUNIST_AAA,2,313,tjsdn2560,1565890864.058433,217,144,3,2,1305187
80:e8:6f:d8:0a:00,Community-1F-02,0,802.11n (2.4GHz),1,20,20,20,144,100,,,Unknown,b4:f7:a1:8d:1d:3c,,-44,46,WUNIST_AAA,2,317,tjsdn2560,1565890868.075929,217,144,3,2,1305187
80:e8:6f:d8:0a:00,Community-1F-02,0,802.11n (2.4GHz),1,20,20,20,144,100,,,Unknown,b4:f7:a1:8d:1d:3c,,-44,46,WUNIST_AAA,2,321,tjsdn2560,1565890872.091747,217,144,3,2,1305187
80:e8:6f:d8:0a:00,Community-1F-02,0,802.11n (2.4GHz),1,20,20,20,144,100,,,Unknown,b4:f7:a1:8d:1d:3c,,-44,46,WUNIST_AAA,2,325,tjsdn2560,1565890876.107596,217,144,3,2,1305187
80:e8:6f:d8:0a:00,Community-1F-02,0,802.11n (2.4GHz),1,20,20,20,5,3,,,Unknown,b4:f7:a1:8d:1d:3c,,-34,56,WUNIST_AAA,0,329,tjsdn2560,1565890880.130984,217,144,3,2,1316851
80:e8:6f:d8:0a:00,Community-1F-02,0,802.11n (2.4GHz),1,20,20,20,5,3,,,Unknown,b4:f7:a1:8d:1d:3c,,-34,56,WUNIST_AAA,0,333,tjsdn2560,1565890884.149495,217,144,3,2,1316851
80:e8:6f:d8:0a:00,Community-1F-02,0,802.11n (2.4GHz),1,20,20,20,5,3,,,Unknown,b4:f7:a1:8d:1d:3c,,-34,56,WUNIST_AAA,0,337,tjsdn2560,1565890888.170467,217,144,3,2,1316851
80:e8:6f:d8:0a:00,Community-1F-02,0,802.11n (2.4GHz),1,20,20,20,5,3,,,Unknown,b4:f7:a1:8d:1d:3c,,-34,56,WUNIST_AAA,0,341,tjsdn2560,1565890892.188335,217,144,3,2,1316851
