x,y,AP1:RSSI,AP2:RSSI,AP3:RSSI,AP4:RSSI,Capabilities,epochTime
607.67,201.14,Eng2_04F-05:-49,Eng2_02F_A03:-79,Eng2_02F_A04:-87,Eng2_03F-08:-82,2.4,1565816282
607.67,201.14,Eng2_04F-05:-49,Eng2_02F_A03:-76,Eng2_02F_A04:-87,Eng2_03F-08:-85,2.4,1565816286
607.67,201.14,Eng2_04F-05:-49,Eng2_02F_A03:-75,Eng2_02F_A04:-87,Eng2_03F-08:-85,2.4,1565816290
607.67,201.14,Eng2_04F-05:-49,Eng2_02F_A03:-74,Eng2_02F_A04:-87,Eng2_03F-08:-85,2.4,1565816294
607.67,201.14,Eng2_04F-05:-49,Eng2_02F_A03:-78,Eng2_02F_A04:-87,Eng2_03F-08:-85,2.4,1565816298
607.67,201.14,Eng2_04F-05:-49,Eng2_02F_A03:-80,Eng2_02F_A04:-87,Eng2_03F-08:-85,2.4,1565816302
607.67,201.14,Eng2_04F-05:-49,Eng2_02F_A03:-86,Eng2_02F_A04:-87,Eng2_03F-08:-82,2.4,1565816306
607.67,201.14,Eng2_04F-05:-49,Eng2_02F_A03:-86,Eng2_02F_A04:-87,Eng2_03F-08:-80,2.4,1565816310
607.67,201.14,Eng2_04F-05:-49,Eng2_02F_A03:-86,Eng2_02F_A04:-87,Eng2_03F-08:-84,2.4,1565816314
607.67,201.14,Eng2_04F-05:-49,Eng2_02F_A03:-86,Eng2_02F_A04:-87,Eng2_03F-08:-84,2.4,1565816318
607.67,201.14,Eng2_04F-05:-49,Eng2_02F_A03:-85,Eng2_03F-08:-83,Eng2_06F-07:-88,2.4,1565816322
607.67,201.14,Eng2_04F-05:-49,Eng2_02F_A03:-85,Eng2_03F-08:-88,Eng2_06F-07:-88,2.4,1565816326
607.67,201.14,Eng2_04F-05:-49,Eng2_02F_A03:-78,Eng2_03F-08:-86,Eng2_06F-07:-87,2.4,1565816330
607.67,201.14,Eng2_04F-05:-49,Eng2_02F_A03:-71,Eng2_02F_A04:-86,Eng2_03F-08:-87,2.4,1565816334
607.67,201.14,Eng2_04F-05:-49,Eng2_02F_A03:-72,Eng2_02F_A04:-86,Eng2_03F-08:-88,2.4,1565816338
607.67,201.14,Eng2_04F-05:-49,Eng2_02F_A03:-80,Eng2_02F_A04:-86,Eng2_03F-08:-83,2.4,1565816342
607.67,201.14,Eng2_04F-05:-49,Eng2_02F_A03:-85,Eng2_02F_A04:-86,Eng2_03F-08:-79,2.4,1565816346
607.67,201.14,Eng2_04F-05:-49,Eng2_02F_A03:-82,Eng2_02F_A04:-86,Eng2_03F-08:-79,2.4,1565816350
607.67,201.14,Eng2_04F-05:-49,Eng2_02F_A03:-84,Eng2_02F_A04:-86,Eng2_03F-08:-79,2.4,1565816354
607.67,201.14,Eng2_04F-05:-49,Eng2_02F_A03:-83,Eng2_03F-08:-80,Eng2_06F-06:-89,2.4,1565816358
607.67,201.14,Eng2_04F-05:-49,Eng2_02F_A03:-83,Eng2_03F-08:-80,Eng2_06F-06:-89,2.4,1565816362
607.67,201.14,Eng2_04F-05:-47,Eng2_02F_A03:-83,Eng2_03F-08:-80,Eng2_06F-06:-89,2.4,1565816366
607.67,201.14,Eng2_04F-05:-47,Eng2_02F_A03:-84,Eng2_03F-08:-81,Eng2_06F-06:-89,2.4,1565816370
607.67,201.14,Eng2_04F-05:-47,Eng2_02F_A03:-84,Eng2_03F-08:-82,Eng2_06F-06:-89,2.4,1565816374
607.67,201.14,Eng2_04F-05:-47,Eng2_02F_A03:-84,Eng2_03F-08:-85,Eng2_06F-06:-85,2.4,1565816378
557.51,204.22,Eng2_04F-05:-47,Eng2_02F_A03:-77,Eng2_06F-07:-91,Eng2_03F-05:-68,2.4,1565816426
557.51,204.22,Eng2_04F-05:-47,Eng2_02F_A03:-78,Eng2_03F-05:-69,Eng2_03F-04:-77,2.4,1565816430
557.51,204.22,Eng2_04F-05:-47,Eng2_02F_A03:-78,Eng2_03F-05:-68,Eng2_03F-04:-80,2.4,1565816434
557.51,204.22,Eng2_04F-05:-47,Eng2_02F_A03:-78,Eng2_06F-06:-88,Eng2_03F-05:-69,2.4,1565816438
557.51,204.22,Eng2_04F-05:-47,Eng2_02F_A03:-82,Eng2_06F-06:-88,Eng2_03F-05:-72,2.4,1565816442
557.51,204.22,Eng2_04F-05:-47,Eng2_02F_A03:-74,Eng2_06F-06:-88,Eng2_03F-05:-72,2.4,1565816446
557.51,204.22,Eng2_04F-05:-47,Eng2_02F_A03:-78,Eng2_03F-08:-88,Eng2_03F-05:-64,2.4,1565816450
557.51,204.22,Eng2_04F-05:-47,Eng2_02F_A03:-79,Eng2_03F-08:-88,Eng2_03F-05:-63,2.4,1565816454
557.51,204.22,Eng2_04F-05:-34,Eng2_02F_A03:-78,Eng2_03F-08:-84,Eng2_03F-05:-59,2.4,1565816458
557.51,204.22,Eng2_04F-05:-34,Eng2_02F_A03:-77,Eng2_03F-08:-84,Eng2_03F-05:-62,2.4,1565816462
557.51,204.22,Eng2_04F-05:-34,Eng2_02F_A03:-78,Eng2_03F-08:-82,Eng2_03F-05:-60,2.4,1565816466
557.51,204.22,Eng2_04F-05:-34,Eng2_02F_A03:-76,Eng2_03F-08:-81,Eng2_06F-06:-86,2.4,1565816470
557.51,204.22,Eng2_04F-05:-34,Eng2_02F_A03:-77,Eng2_03F-08:-87,Eng2_06F-06:-78,2.4,1565816474
557.51,204.22,Eng2_04F-05:-34,Eng2_02F_A03:-77,Eng2_03F-08:-85,Eng2_06F-06:-78,2.4,1565816478
557.51,204.22,Eng2_04F-05:-34,Eng2_02F_A03:-77,Eng2_03F-08:-85,Eng2_03F-05:-63,2.4,1565816482
557.51,204.22,Eng2_04F-05:-34,Eng2_02F_A03:-78,Eng2_03F-08:-85,Eng2_03F-05:-64,2.4,1565816486
557.51,204.22,Eng2_04F-05:-34,Eng2_02F_A03:-77,Eng2_03F-08:-82,Eng2_03F-05:-63,2.4,1565816491
557.51,204.22,Eng2_04F-05:-34,Eng2_02F_A03:-78,Eng2_03F-08:-82,Eng2_03F-05:-61,2.4,1565816495
557.51,204.22,Eng2_04F-05:-34,Eng2_02F_A03:-77,Eng2_03F-08:-83,Eng2_03F-05:-66,2.4,1565816499
557.51,204.22,Eng2_04F-05:-34,Eng2_02F_A03:-76,Eng2_03F-08:-81,Eng2_03F-05:-64,2.4,1565816503
557.51,204.22,Eng2_04F-05:-34,Eng2_02F_A03:-77,Eng2_03F-08:-81,Eng2_07F-06:-86,2.4,1565816507
557.51,204.22,Eng2_04F-05:-34,Eng2_02F_A03:-77,Eng2_03F-08:-83,Eng2_06F-06:-85,2.4,1565816511
557.51,204.22,Eng2_04F-05:-34,Eng2_02F_A03:-79,Eng2_03F-08:-82,Eng2_06F-06:-87,2.4,1565816515
521.72,205.49,Eng2_04F-05:-34,Eng2_02F_A03:-80,Eng2_03F-08:-84,Eng2_03F-05:-75,2.4,1565816535
521.72,205.49,Eng2_04F-05:-34,Eng2_02F_A03:-80,Eng2_06F-07:-86,Eng2_03F-05:-76,2.4,1565816539
521.72,205.49,Eng2_04F-05:-34,Eng2_02F_A03:-78,Eng2_02F_A04:-86,Eng2_06F-07:-85,2.4,1565816543
521.72,205.49,Eng2_04F-05:-49,Eng2_02F_A03:-79,Eng2_02F_A04:-86,Eng2_06F-07:-85,2.4,1565816547
521.72,205.49,Eng2_04F-05:-49,Eng2_02F_A03:-79,Eng2_02F_A04:-86,Eng2_06F-07:-91,2.4,1565816551
521.72,205.49,Eng2_04F-05:-49,Eng2_02F_A03:-79,Eng2_02F_A04:-86,Eng2_06F-07:-91,2.4,1565816555
521.72,205.49,Eng2_04F-05:-49,Eng2_02F_A03:-79,Eng2_02F_A04:-86,Eng2_06F-07:-86,2.4,1565816559
521.72,205.49,Eng2_04F-05:-49,Eng2_02F_A03:-79,Eng2_02F_A04:-87,Eng2_06F-07:-86,2.4,1565816563
521.72,205.49,Eng2_04F-05:-49,Eng2_02F_A03:-84,Eng2_02F_A04:-87,Eng2_03F-08:-87,2.4,1565816567
521.72,205.49,Eng2_04F-05:-49,Eng2_02F_A03:-82,Eng2_02F_A04:-88,Eng2_03F-08:-89,2.4,1565816571
521.72,205.49,Eng2_04F-05:-49,Eng2_02F_A03:-81,Eng2_02F_A04:-88,Eng2_03F-08:-86,2.4,1565816575
521.72,205.49,Eng2_04F-05:-49,Eng2_02F_A03:-81,Eng2_02F_A04:-88,Eng2_03F-08:-85,2.4,1565816579
521.72,205.49,Eng2_04F-05:-49,Eng2_02F_A03:-82,Eng2_02F_A04:-88,Eng2_03F-08:-86,2.4,1565816583
521.72,205.49,Eng2_04F-05:-49,Eng2_02F_A03:-82,Eng2_02F_A04:-88,Eng2_03F-08:-87,2.4,1565816587
521.72,205.49,Eng2_04F-05:-49,Eng2_02F_A03:-82,Eng2_02F_A04:-88,Eng2_03F-08:-87,2.4,1565816591
521.72,205.49,Eng2_04F-05:-49,Eng2_02F_A03:-82,Eng2_02F_A04:-88,Eng2_03F-08:-87,2.4,1565816595
521.72,205.49,Eng2_04F-05:-49,Eng2_02F_A03:-82,Eng2_02F_A04:-88,Eng2_03F-08:-87,2.4,1565816599
521.72,205.49,Eng2_04F-05:-49,Eng2_02F_A03:-82,Eng2_02F_A04:-88,Eng2_03F-08:-87,2.4,1565816603
521.72,205.49,Eng2_04F-05:-49,Eng2_02F_A03:-82,Eng2_02F_A04:-85,Eng2_03F-08:-87,2.4,1565816607
521.72,205.49,Eng2_04F-05:-49,Eng2_02F_A03:-82,Eng2_02F_A04:-86,Eng2_03F-08:-87,2.4,1565816611
521.72,205.49,Eng2_04F-05:-49,Eng2_02F_A03:-82,Eng2_02F_A04:-86,Eng2_03F-08:-87,2.4,1565816615
521.72,205.49,Eng2_04F-05:-49,Eng2_02F_A04:-86,Eng2_03F-08:-87,Eng2_06F-07:-88,2.4,1565816619
521.72,205.49,Eng2_04F-05:-49,Eng2_02F_A04:-86,Eng2_03F-08:-87,Eng2_06F-07:-88,2.4,1565816623
521.72,205.49,Eng2_04F-05:-49,Eng2_02F_A04:-86,Eng2_06F-07:-88,Eng2_07F-06:-81,2.4,1565816627
521.72,205.49,Eng2_04F-05:-49,Eng2_02F_A03:-83,Eng2_02F_A04:-86,Eng2_06F-07:-88,2.4,1565816631
521.72,205.49,Eng2_04F-05:-49,Eng2_02F_A03:-78,Eng2_02F_A04:-86,Eng2_06F-07:-88,2.4,1565816635
477.97,204.49,Eng2_04F-05:-48,Eng2_02F_A03:-83,Eng2_02F_A04:-85,Eng2_06F-07:-88,2.4,1565816655
477.97,204.49,Eng2_04F-05:-48,Eng2_02F_A03:-83,Eng2_02F_A04:-83,Eng2_06F-07:-88,2.4,1565816659
477.97,204.49,Eng2_04F-05:-48,Eng2_02F_A03:-86,Eng2_02F_A04:-82,Eng2_06F-07:-88,2.4,1565816663
477.97,204.49,Eng2_04F-05:-48,Eng2_02F_A03:-86,Eng2_02F_A04:-82,Eng2_06F-07:-88,2.4,1565816667
477.97,204.49,Eng2_04F-05:-48,Eng2_02F_A03:-86,Eng2_02F_A04:-84,Eng2_07F-06:-81,2.4,1565816671
477.97,204.49,Eng2_04F-05:-48,Eng2_02F_A03:-85,Eng2_02F_A04:-84,Eng2_07F-06:-81,2.4,1565816675
477.97,204.49,Eng2_04F-05:-48,Eng2_02F_A03:-85,Eng2_02F_A04:-81,Eng2_07F-06:-81,2.4,1565816679
477.97,204.49,Eng2_04F-05:-48,Eng2_02F_A03:-85,Eng2_02F_A04:-81,Eng2_07F-06:-81,2.4,1565816683
477.97,204.49,Eng2_04F-05:-48,Eng2_02F_A03:-85,Eng2_02F_A04:-81,Eng2_07F-06:-81,2.4,1565816687
477.97,204.49,Eng2_04F-05:-48,Eng2_02F_A03:-85,Eng2_02F_A04:-85,Eng2_07F-06:-81,2.4,1565816691
477.97,204.49,Eng2_04F-05:-48,Eng2_02F_A03:-85,Eng2_02F_A04:-85,Eng2_07F-06:-81,2.4,1565816695
477.97,204.49,Eng2_04F-05:-48,Eng2_02F_A03:-91,Eng2_02F_A04:-84,Eng2_07F-06:-81,2.4,1565816699
