x,y,epochTime
1721,303,1574980292
1212,303,1574980303
533,303,1574980319
533,607,1574980327
1212,607,1574980342
1721,607,1574980355
2245,607,1574980369
1721,607,1574980383
1721,303,1574980391
2245,303,1574980405
1721,303,1574980421
1212,303,1574980432
1212,607,1574980440
533,607,1574980457
533,520,1574980459
420,520,1574980462
420,303,1574980467
63,303,1574980477
420,303,1574980487
420,520,1574980492
420,607,1574980494
63,607,1574980504
420,607,1574980514
420,520,1574980517
533,520,1574980519
533,607,1574980522
1212,607,1574980539
1212,303,1574980546
1721,303,1574980559
1721,607,1574980566
1212,607,1574980578
533,607,1574980594
533,303,1574980602
1212,303,1574980619
1212,607,1574980626
1721,607,1574980639
1721,303,1574980647
2245,303,1574980661
1721,303,1574980675
1721,607,1574980683
2245,607,1574980696
1721,607,1574980711
1212,607,1574980723
533,607,1574980739
533,520,1574980742
420,520,1574980745
420,607,1574980747
63,607,1574980757
420,607,1574980767
420,303,1574980774
63,303,1574980784
420,303,1574980793
420,520,1574980798
533,520,1574980802
533,303,1574980807
1212,303,1574980824
1721,303,1574980836
1721,607,1574980843
1212,607,1574980856
1212,303,1574980863
1721,303,1574980875
2320,303,1574980877
