spatialstrmClients,Hostname,Capabilities,Device Type,NeighborMac,ChannelwidthAp,Channel,Username,MacAddress,RSSI,CCXV,Status,ChannelWidth,maxAprate,AP Mac Address,ConnRate,ConnScore,volume,Heard By,AP Name,SpatialStream,ChannelwidthClient,SSID,spatialstrmAp,maxClientrate,SNR,epochTime
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:80:27:48,38:20:56:84:51:c0,80:e8:6f:d8:0a:00'",b'40',b'100',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'-54',b'1',b'114',b'40',b'600',b'80:e8:6f:d8:09:e8',b'135',b'31',b'22277',"b'Eng2_02F_A04(-76 dBm),Eng2_01F_A01(-83 dBm),Community-1F-02(-55 dBm)'",b'Community-1F-01',b'1',b'80',b'WUNIST_AAA',b'3',b'433',b'39',1574979672.977663
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:80:27:48,38:20:56:84:51:c0,80:e8:6f:d8:0a:00'",b'40',b'100',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'-54',b'1',b'116',b'40',b'600',b'80:e8:6f:d8:09:e8',b'135',b'31',b'22277',"b'Eng2_02F_A04(-76 dBm),Eng2_01F_A01(-83 dBm),Community-1F-02(-55 dBm)'",b'Community-1F-01',b'1',b'80',b'WUNIST_AAA',b'3',b'433',b'39',1574979674.9874523
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:80:27:48,38:20:56:84:51:c0,80:e8:6f:d8:0a:00'",b'40',b'100',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'-54',b'1',b'118',b'40',b'600',b'80:e8:6f:d8:09:e8',b'135',b'31',b'22277',"b'Eng2_02F_A04(-76 dBm),Eng2_01F_A01(-83 dBm),Community-1F-02(-55 dBm)'",b'Community-1F-01',b'1',b'80',b'WUNIST_AAA',b'3',b'433',b'39',1574979676.9988601
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:80:27:48,38:20:56:84:51:c0,80:e8:6f:d8:0a:00'",b'40',b'100',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'-54',b'1',b'120',b'40',b'600',b'80:e8:6f:d8:09:e8',b'135',b'31',b'22277',"b'Eng2_02F_A04(-76 dBm),Eng2_01F_A01(-83 dBm),Community-1F-02(-55 dBm)'",b'Community-1F-01',b'1',b'80',b'WUNIST_AAA',b'3',b'433',b'39',1574979679.0144403
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:80:27:48,38:20:56:84:51:c0,80:e8:6f:d8:0a:00'",b'40',b'100',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'-54',b'1',b'122',b'40',b'600',b'80:e8:6f:d8:09:e8',b'135',b'31',b'22277',"b'Eng2_02F_A04(-76 dBm),Eng2_01F_A01(-83 dBm),Community-1F-02(-55 dBm)'",b'Community-1F-01',b'1',b'80',b'WUNIST_AAA',b'3',b'433',b'39',1574979681.0252767
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:80:27:48,38:20:56:84:51:c0,80:e8:6f:d8:0a:00'",b'40',b'100',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'-54',b'1',b'124',b'40',b'600',b'80:e8:6f:d8:09:e8',b'135',b'31',b'22277',"b'Eng2_02F_A04(-76 dBm),Eng2_01F_A01(-83 dBm),Community-1F-02(-55 dBm)'",b'Community-1F-01',b'1',b'80',b'WUNIST_AAA',b'3',b'433',b'39',1574979683.0352197
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:80:27:48,38:20:56:84:51:c0,80:e8:6f:d8:0a:00'",b'40',b'100',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'-54',b'1',b'126',b'40',b'600',b'80:e8:6f:d8:09:e8',b'135',b'31',b'22277',"b'Eng2_02F_A04(-76 dBm),Eng2_01F_A01(-83 dBm),Community-1F-02(-55 dBm)'",b'Community-1F-01',b'1',b'80',b'WUNIST_AAA',b'3',b'433',b'39',1574979685.0464325
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:80:27:48,38:20:56:84:51:c0,80:e8:6f:d8:0a:00'",b'40',b'100',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'-54',b'1',b'128',b'40',b'600',b'80:e8:6f:d8:09:e8',b'135',b'31',b'22277',"b'Eng2_02F_A04(-76 dBm),Eng2_01F_A01(-83 dBm),Community-1F-02(-55 dBm)'",b'Community-1F-01',b'1',b'80',b'WUNIST_AAA',b'3',b'433',b'39',1574979687.0570588
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:80:27:48,38:20:56:84:51:c0,80:e8:6f:d8:0a:00'",b'40',b'100',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'-54',b'1',b'130',b'40',b'600',b'80:e8:6f:d8:09:e8',b'135',b'31',b'22277',"b'Eng2_02F_A04(-76 dBm),Eng2_01F_A01(-83 dBm),Community-1F-02(-55 dBm)'",b'Community-1F-01',b'1',b'80',b'WUNIST_AAA',b'3',b'433',b'39',1574979689.0730681
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:80:27:48,38:20:56:84:51:c0,80:e8:6f:d8:0a:00'",b'40',b'100',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'-54',b'1',b'132',b'40',b'600',b'80:e8:6f:d8:09:e8',b'135',b'31',b'22277',"b'Eng2_02F_A04(-76 dBm),Eng2_01F_A01(-83 dBm),Community-1F-02(-49 dBm)'",b'Community-1F-01',b'1',b'80',b'WUNIST_AAA',b'3',b'433',b'39',1574979691.0836737
