x,y,epochTime
1212,303,1575156016
1721,303,1575156029
2245,303,1575156044
1721,303,1575156059
1721,607,1575156066
2245,607,1575156082
1721,607,1575156097
1721,303,1575156104
1212,303,1575156116
533,303,1575156132
533,520,1575156137
533,607,1575156141
1172,559,1575156158
1212,607,1575156159
533,607,1575156175
533,520,1575156178
420,520,1575156181
420,303,1575156187
63,303,1575156197
420,303,1575156207
420,607,1575156215
63,607,1575156224
420,607,1575156234
420,520,1575156238
533,520,1575156240
533,303,1575156246
1212,303,1575156262
1212,607,1575156269
533,607,1575156286
533,303,1575156294
1212,303,1575156310
1721,303,1575156323
2245,303,1575156338
1721,303,1575156353
1721,607,1575156361
1212,607,1575156373
1212,303,1575156381
2245,303,1575156407
2245,303,1575156409
533,303,1575156451
533,607,1575156459
2245,607,1575156503
1212,607,1575156529
1212,303,1575156537
533,303,1575156553
533,520,1575156559
420,520,1575156562
420,607,1575156565
63,607,1575156576
420,607,1575156588
420,303,1575156596
63,303,1575156606
420,303,1575156616
420,520,1575156621
533,520,1575156624
533,607,1575156628
1212,607,1575156644
1212,303,1575156652
533,303,1575156668
533,520,1575156673
420,520,1575156676
420,303,1575156682
63,303,1575156692
420,303,1575156701
420,607,1575156709
63,607,1575156720
420,607,1575156729
420,520,1575156732
533,520,1575156735
533,303,1575156740
1212,303,1575156756
1212,607,1575156763
1721,607,1575156775
1721,303,1575156784
1212,303,1575156796
1212,607,1575156803
1721,607,1575156815
1721,303,1575156822
1212,303,1575156834
1212,607,1575156842
1721,607,1575156854
1721,303,1575156860
2245,303,1575156875
1721,303,1575156889
1212,303,1575156903
533,303,1575156918
533,607,1575156926
1721,607,1575156954
2245,607,1575156969
1721,607,1575156983
1212,607,1575156996
1212,303,1575157003
1721,303,1575157015
1721,607,1575157023
2245,607,1575157038
1721,607,1575157053
1721,303,1575157061
533,303,1575157089
533,520,1575157094
420,520,1575157098
420,607,1575157101
63,607,1575157111
420,607,1575157122
63,607,1575157132
420,607,1575157144
420,303,1575157152
63,303,1575157162
420,303,1575157172
63,303,1575157183
420,303,1575157193
420,520,1575157198
533,520,1575157201
533,303,1575157206
1212,303,1575157224
2245,303,1575157250
1721,303,1575157265
1212,303,1575157278
1212,607,1575157285
1721,607,1575157298
1721,303,1575157306
533,303,1575157335
533,607,1575157343
1224,560,1575157360
1212,607,1575157361
1212,303,1575157368
2245,303,1575157394
1212,303,1575157421
1212,607,1575157428
2245,607,1575157455
1721,607,1575157469
1212,607,1575157482
533,607,1575157498
533,520,1575157501
420,520,1575157504
420,303,1575157511
63,303,1575157521
420,303,1575157530
420,607,1575157537
63,607,1575157547
420,607,1575157558
420,520,1575157562
533,520,1575157565
533,607,1575157568
1212,607,1575157585
2318,323,1575157587
2310,410,1575157590
