x,y,AP1:RSSI,AP2:RSSI,AP3:RSSI,AP4:RSSI,Capabilities,epochTime
1721,303,Eng2_04F-05:-60,Eng2_02F_A03:-73,108-4F-06:-87,Eng2_03F-05:-59,5,1574980293
0,0,Eng2_04F-05:-60,Eng2_02F_A03:-88,Eng2_03F-05:-80,Eng2_03F-04:-85,5,1574980295
0,0,Eng2_04F-05:-60,Eng2_02F_A03:-88,Eng2_03F-05:-80,Eng2_03F-04:-85,5,1574980297
0,0,Eng2_04F-05:-60,Eng2_02F_A03:-87,Eng2_02F_A04:-79,Eng2_03F-05:-80,5,1574980299
0,0,Eng2_04F-01:-83,Eng2_02F_A03:-87,Eng2_02F_A04:-79,Eng2_03F-05:-80,5,1574980301
1212,303,Eng2_04F-01:-83,Eng2_02F_A03:-87,Eng2_02F_A04:-76,Eng2_06F-04:-81,5,1574980303
0,0,Eng2_04F-01:-83,Eng2_02F_A03:-87,Eng2_02F_A04:-76,Eng2_06F-04:-81,5,1574980305
0,0,Eng2_04F-01:-83,Eng2_02F_A03:-87,Eng2_02F_A04:-76,Eng2_06F-04:-81,5,1574980307
0,0,Eng2_04F-01:-83,Eng2_02F_A03:-87,Eng2_02F_A04:-76,Eng2_06F-04:-81,5,1574980309
0,0,Eng2_04F-01:-83,Eng2_02F_A03:-87,Eng2_02F_A04:-76,Eng2_06F-04:-81,5,1574980311
0,0,Eng2_04F-01:-83,Eng2_02F_A03:-87,Eng2_02F_A04:-76,Eng2_06F-04:-81,5,1574980313
0,0,Eng2_04F-01:-83,Eng2_02F_A04:-76,Eng2_06F-04:-81,Eng2_03F-04:-72,5,1574980316
0,0,Eng2_04F-01:-83,Eng2_02F_A04:-76,Eng2_06F-04:-81,Eng2_03F-04:-72,5,1574980318
533,303,Eng2_04F-01:-83,Eng2_02F_A04:-80,Eng2_06F-04:-81,Eng2_03F-04:-81,5,1574980320
0,0,Eng2_04F-01:-83,Eng2_02F_A04:-80,Eng2_06F-04:-81,Eng2_03F-04:-81,5,1574980322
0,0,Eng2_04F-01:-83,Eng2_02F_A04:-80,Eng2_06F-04:-81,Eng2_03F-04:-81,5,1574980324
0,0,Eng2_04F-01:-83,Eng2_02F_A04:-80,Eng2_06F-04:-81,Eng2_03F-04:-81,5,1574980326
533,607,Eng2_04F-01:-83,Eng2_03F-04:-81,Eng2_04F-05:-76,Eng2_03F-02:-63,5,1574980328
0,0,Eng2_04F-01:-83,Eng2_03F-04:-81,Eng2_04F-05:-76,Eng2_03F-02:-63,5,1574980330
0,0,Eng2_04F-01:-82,Eng2_03F-04:-81,Eng2_04F-05:-83,Eng2_03F-02:-63,5,1574980332
0,0,Eng2_04F-01:-82,Eng2_03F-04:-81,Eng2_04F-05:-83,Eng2_03F-02:-63,5,1574980334
0,0,Eng2_04F-01:-82,Eng2_03F-04:-83,Eng2_04F-05:-81,Eng2_05F-05:-84,5,1574980336
0,0,Eng2_04F-01:-82,Eng1_01F_A21:-97,Eng2_03F-05:-81,Eng2_03F-04:-84,5,1574980338
0,0,Eng2_04F-01:-82,Eng1_01F_A22:-91,Eng1_01F_A21:-90,Eng2_03F-05:-81,5,1574980340
0,0,Eng2_04F-01:-82,Eng1_01F_A22:-91,Eng1_01F_A21:-92,Eng2_02F_A04:-92,5,1574980342
1212,607,Eng2_04F-01:-82,Eng1_01F_A22:-91,Eng1_01F_A21:-91,Eng2_02F_A04:-92,5,1574980344
0,0,Eng2_04F-01:-82,Eng1_01F_A22:-91,Eng1_01F_A21:-91,Eng2_02F_A04:-92,5,1574980346
0,0,Eng2_04F-01:-82,Eng1_01F_A22:-91,Eng1_01F_A21:-91,Eng2_02F_A04:-92,5,1574980348
0,0,Eng2_04F-01:-82,Eng1_01F_A22:-91,Eng1_01F_A21:-91,Eng2_02F_A04:-92,5,1574980350
0,0,Eng2_04F-01:-82,Eng2_02F_A03:-84,Eng1_01F_A22:-91,Eng1_01F_A21:-91,5,1574980352
0,0,Eng2_04F-01:-82,Eng2_02F_A03:-84,Eng1_01F_A21:-91,Eng2_06F-06:-73,5,1574980354
1721,607,Eng2_04F-01:-82,Eng2_02F_A03:-84,Eng1_01F_A21:-91,Eng2_06F-06:-82,5,1574980356
0,0,Eng2_04F-01:-82,Eng2_02F_A03:-84,Eng1_01F_A21:-91,Eng2_06F-06:-82,5,1574980358
0,0,Eng2_04F-01:-82,Eng2_02F_A03:-84,Eng1_01F_A21:-91,Eng2_06F-06:-66,5,1574980360
0,0,Eng2_04F-01:-82,Eng2_02F_A03:-84,Eng1_01F_A21:-91,Eng2_06F-06:-66,5,1574980362
0,0,Eng2_04F-01:-82,Eng2_02F_A03:-84,Eng2_03F-08:-87,Eng2_06F-06:-66,5,1574980364
0,0,Eng2_04F-01:-82,Eng2_02F_A03:-84,Eng2_03F-08:-82,Eng2_06F-06:-76,5,1574980366
0,0,Eng2_04F-01:-82,Eng2_02F_A03:-84,Eng2_03F-08:-82,Eng2_06F-06:-69,5,1574980368
2245,607,Eng2_04F-01:-82,Eng2_02F_A03:-84,Eng2_03F-08:-82,Eng2_06F-06:-69,5,1574980370
0,0,Eng2_04F-01:-82,Eng2_02F_A03:-84,Eng2_03F-08:-89,Eng2_06F-06:-75,5,1574980372
0,0,Eng2_04F-01:-82,Eng2_02F_A03:-84,Eng2_03F-08:-89,Eng2_06F-06:-75,5,1574980374
0,0,Eng2_04F-01:-82,Eng2_02F_A03:-84,Eng2_03F-08:-89,Eng2_06F-06:-75,5,1574980376
