,-56,-60,-73,-87,-59,-88,-80,-85,-79,-83,-76,-81,-72,-63,-82,-84,-97,-91,-90,-92,-66,-69,-89,-75,-78,-71,-86,-77,-50,-70,-74,-61,-10,-64,-62,-68,-65,-67,-57,-52
Eng2_04F-05,,",1185,1182,1178,1175",,,,,",1143,996,780,580,577,575,573,570,568,570,573,575,577,580,726,780,783,583",,,",589,592,1143,1140,1138,1136,1133,1131,1133,1136,1138,1140",",583,586",",594",,,,,,,,,,",1160,1163,1166,1168",,,",583,783,781",",1160,1163,1047,1146",",586",,,,,",1149,1152",,",1155,1157",",1155,1157",,,,",1149,1152",
Eng2_02F_A03,,,",1185,1172,1175",",1175,1172,1168,1166,1163,1160,1157,1155,624,622,822,1171,1174",,",1182,1178,1190,1192,1195,1197,1200,1202,1200,1198,1196,1193",",1078,934,822,622,619,616,614,611,608",,",1185,1078,934,822,622,624,627,629,632,634,637,639,637,634,632",",1187,1187,1190",",1191,1189,1187,1185,619,616,614,611,608,605,805,917",",1185,1192,1195,1197,1200,1202,1200,1187,1185",,,,",616,619,622,624,627,629,632,634,637,639,637,634,632,629,627,1177,1179,1182",,,,,,,,",822,934",",1078,822,622",",934,1078",",1171,1174,1177,1179,1182,1185,1078,934",",1182,1178,1175,1172,1168,1061,917,805,605,603",,,,,",1185",,,",1178,1182",,,,
108-4F-06,,,,",1185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eng2_03F-05,,,,",597,594,592,589",",1185,616",,",1182,1178,1175,1172,591,593",",1175,1172,1168,1061,917,805,598,591,588,586,583,783,780,892,1044,1143,1140,1138,1136,1133,1131",",1182,1178",",600,1182",",598",",597,600,600,603,592,589,583,783,781",",1185,616,614,611",",822,934,1078",",603,600,597,594,586,1177,1179",",1187,1190,1192,805,605",,,,,",1185,614",,,",608,611",",603,600",",605",",586,588,596,586,583,783,895,1047,1146,1149,1152,1155,1157",",605,861,1013,1168,1171,1174,1177,1179",,,",822,622,608,605,805,917,1061,1168",",1078,934,608,605",,",619",",624,627",",619,622",",822,622",,,
Eng2_03F-04,,,,",1143,1140,1138,1136,1133,1131,1133,1136,1138,1140",,",1185",",600,603",",1182,1178",",600,597,594,592,589",",594",,",1146,1047,895,783,583,586,589,592,1166,1168,1078,934",",1152,1149,1149,1152,1061,917",",605,861,1013",",1047,1146",",597",,,,,,,,",596,598",",1143,996,780,781,783,895",",1155,1157,1171,1174",",586,588,591,593,597,594,592,589",",1143,996,780,580,577,575,573,570,568,570,573,575,577,580,726,780,783,583",,",1155,1157",,",1168",,,",1160,1163",,",1160,1163",",1149,1152",,",1166,1168"
Eng2_02F_A04,,,",1168,1061,917,1166,1168",,,,",1146,1047,895,783",,",1175,1172,1172,1175,1178,1182",,",1168,1166,1163,1160,1157,1155,1152,1149",",1160,1163",",917,805,605,603,600,598,596,593",,",1166,1168,805,605,608,611,614,616,619,622,1174,1177,1179,1182,1185,1078,934",",1187,1185,1182,1178",,,,",603,605,608,611,614",,,,",1171",",1061,1168",,,",1175,1172,1168,1061",,",1171,1174,1177,1179,1182,1185",",605,861,1013",,,,,,,,,
Eng2_04F-01,,,,,,,,",1047,1146,1149,1152,1155,1157,1160,1163,1166,1168,1061,917,805,605,608,611,614,616,619,622,822,934,1078,1185,1187,1190,1192,1195,1197,1200,1202,1200,1197,1195,1192,1190,1187,1185,1078,934,822,622,624,627,629",,",1172,1168,1166,1163,1160,1157,1155,1152,1149,1146,1047,895,783,583,586,1187,1185,1182,1178,1175,1172,1168,1061,917,805,605,603,600,598,596,593,591,588,586,583,783,780,892,1044,1143,1140,1138,1136,1133,1131,1133,1136,1138,1140,1143,996,780,580,577,575,573,570,568,570,573",,,,,",589,592,594,597,600,603,605,608,611,614,616,619,622,624,627,629,632,634,637,639,637,634,632,629,627,624,622,822,934,1078,1185,1187,1190,1192,1195,1197,1200,1202,1200,1198,1196,1193,1191,1189",",1178,1182",,,,,,,,,",1136,1133,1131,1133,1136,1138,1140,1143,996,780,781,783,895,1047,1146,1149,1152,1155,1157,1160,1163,1166,1168,1171,1174,1177,1179,1182,1185,1078,934,822,622,619,616,614,611,608,605,805,917,1061,1168,1172,1175",,",632,634,637,639,637,634,632,629,627,624,622,619,616,614,611,608,605,603,600,597,594,592,589,586,583,783,781,780,580,577,575,573,570,568,570,573,575,577,580,836,996,1143,1140,1138",",575,577,580,726,780,783,583,586,588,591,593,596,598,600,603,605,861,1013,1168,1171,1174,1177,1179,1182,1185,1078,934,822,622,619,616,614,611,608,605,603,600,597,594,592,589,586,583,783,895",,,,,,,,,,,,
Eng2_06F-04,,,,,,,,,",1166,1168,1061,917,805,605",,,",1168,1166,1163,1160,1157,1155,1152,1149,1146,1047,895,783",,,,",1168,1172,1175,1178,1182",,,,,,,,,",600",",603,600,597,594,592,589",,",597,594,592,589",,,,,,,,,,,,
Eng2_03F-02,,,,,,,",783,781",,,,",1133,1136",",586,583",",1047,1146",",583,586,589,592",,",1155,1157",,,,,",591,593,596",,,,,,,,,",1138,1140,1143,996,780,580,577,575,573,570,586,583",",783,895,1160,1163,1149,1152",,,,,,,,,
Eng2_05F-05,,,,,,,,",600,603",,,,,,,",586,583,783,895,1047,1146",",594",,,,,,,,",598",,,,,,,,,,,,,,,,
