spatialstrmClients,Hostname,Capabilities,Device Type,NeighborMac,ChannelwidthAp,Channel,Username,MacAddress,RSSI,CCXV,Status,ChannelWidth,maxAprate,AP Mac Address,ConnRate,ConnScore,volume,Heard By,AP Name,SpatialStream,ChannelwidthClient,SSID,spatialstrmAp,maxClientrate,SNR,epochTime
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:7e:1c:e0,38:20:56:7e:1e:08,38:20:56:7e:27:d8'",b'40',b'36',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'-62',b'1',b'227',b'40',b'600',b'80:e8:6f:d8:09:e8',b'200',b'46',b'257634',"b'Eng1_02F_A03(-86 dBm),Eng2_02F_A03(-88 dBm),Eng1_02F_A04(-67 dBm)'",b'Community-1F-01',b'2',b'80',b'WUNIST_AAA',b'3',b'433',b'32',1575155875.0082395
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:7e:1c:e0,38:20:56:7e:1e:08,38:20:56:7e:27:d8'",b'40',b'36',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'-62',b'1',b'229',b'40',b'600',b'80:e8:6f:d8:09:e8',b'200',b'46',b'257634',"b'Eng1_02F_A03(-86 dBm),Eng2_02F_A03(-88 dBm),Eng1_02F_A04(-67 dBm)'",b'Community-1F-01',b'2',b'80',b'WUNIST_AAA',b'3',b'433',b'32',1575155877.0175376
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:7e:1c:e0,38:20:56:7e:1e:08,38:20:56:7e:27:d8'",b'40',b'36',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'-62',b'1',b'231',b'40',b'600',b'80:e8:6f:d8:09:e8',b'200',b'46',b'257634',"b'Eng1_02F_A03(-86 dBm),Eng2_02F_A03(-88 dBm),Eng1_02F_A04(-67 dBm)'",b'Community-1F-01',b'2',b'80',b'WUNIST_AAA',b'3',b'433',b'32',1575155879.0254507
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:7e:1c:e0,38:20:56:7e:1e:08,38:20:56:7e:27:d8'",b'40',b'36',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'-62',b'1',b'233',b'40',b'600',b'80:e8:6f:d8:09:e8',b'200',b'46',b'257634',"b'Eng1_02F_A03(-86 dBm),Eng2_02F_A03(-88 dBm),Eng1_02F_A04(-67 dBm)'",b'Community-1F-01',b'2',b'80',b'WUNIST_AAA',b'3',b'433',b'32',1575155881.0340724
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:7e:1c:e0,38:20:56:7e:1e:08,38:20:56:7e:27:d8'",b'40',b'36',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'-59',b'1',b'235',b'40',b'600',b'80:e8:6f:d8:09:e8',b'180',b'41',b'260148',"b'Eng1_02F_A03(-86 dBm),Eng2_02F_A03(-88 dBm),Eng1_02F_A04(-67 dBm)'",b'Community-1F-01',b'2',b'80',b'WUNIST_AAA',b'3',b'433',b'35',1575155883.0416367
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:7e:1c:e0,38:20:56:7e:1e:08,38:20:56:7e:27:d8'",b'40',b'36',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'-59',b'1',b'237',b'40',b'600',b'80:e8:6f:d8:09:e8',b'180',b'41',b'260148',"b'Eng1_02F_A03(-86 dBm),Eng2_02F_A03(-88 dBm),Eng1_02F_A04(-67 dBm)'",b'Community-1F-01',b'2',b'80',b'WUNIST_AAA',b'3',b'433',b'35',1575155885.0497432
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:7e:1c:e0,38:20:56:7e:1e:08,38:20:56:7e:27:d8'",b'40',b'36',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'-59',b'1',b'239',b'40',b'600',b'80:e8:6f:d8:09:e8',b'180',b'41',b'260148',"b'Eng1_02F_A03(-86 dBm),Eng2_02F_A03(-88 dBm),Eng1_02F_A04(-67 dBm)'",b'Community-1F-01',b'2',b'80',b'WUNIST_AAA',b'3',b'433',b'35',1575155887.05868
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:7e:1c:e0,38:20:56:7e:1e:08,38:20:56:7e:27:d8'",b'40',b'36',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'-59',b'1',b'241',b'40',b'600',b'80:e8:6f:d8:09:e8',b'180',b'41',b'260148',"b'Eng1_02F_A03(-86 dBm),Eng2_02F_A03(-88 dBm),Eng1_02F_A04(-67 dBm)'",b'Community-1F-01',b'2',b'80',b'WUNIST_AAA',b'3',b'433',b'35',1575155889.068163
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:7e:1c:e0,38:20:56:7e:1e:08,38:20:56:7e:27:d8'",b'40',b'36',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'-59',b'1',b'243',b'40',b'600',b'80:e8:6f:d8:09:e8',b'180',b'41',b'260148',"b'Eng1_02F_A03(-86 dBm),Eng2_02F_A03(-88 dBm),Eng1_02F_A04(-67 dBm)'",b'Community-1F-01',b'2',b'80',b'WUNIST_AAA',b'3',b'433',b'35',1575155891.07738
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:7e:1c:e0,38:20:56:7e:1e:08,38:20:56:7e:27:d8'",b'40',b'36',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'-59',b'1',b'245',b'40',b'600',b'80:e8:6f:d8:09:e8',b'180',b'41',b'260148',"b'Eng1_02F_A03(-86 dBm),Eng2_02F_A03(-88 dBm),Eng1_02F_A04(-67 dBm)'",b'Community-1F-01',b'2',b'80',b'WUNIST_AAA',b'3',b'433',b'35',1575155893.0857713
