x,y,AP1:RSSI,AP2:RSSI,AP3:RSSI,AP4:RSSI,Capabilities,epochTime
1212,303,Eng2_05F-04:-71,Eng2_02F_A03:-85,Eng2_02F_A04:-73,Eng2_01F_A01:-77,2.4,1575156018
0,0,Eng2_05F-04:-71,Eng2_02F_A04:-78,Eng2_01F_A01:-77,Eng2_06F-04:-65,2.4,1575156020
0,0,Eng2_05F-04:-71,Eng2_02F_A03:-83,Eng2_02F_A04:-78,Eng2_03F-05:-82,2.4,1575156022
0,0,Eng2_05F-04:-71,Eng2_02F_A03:-78,Eng2_02F_A04:-78,Eng2_03F-05:-78,2.4,1575156024
0,0,Eng2_05F-04:-71,Eng2_02F_A03:-78,Eng2_02F_A04:-78,Eng2_03F-05:-78,2.4,1575156026
0,0,Eng2_05F-04:-71,Eng2_02F_A03:-75,Eng2_02F_A04:-78,Eng2_03F-05:-60,2.4,1575156028
1721,303,Eng2_05F-04:-62,Eng2_02F_A03:-75,Eng2_02F_A04:-78,Eng2_03F-05:-60,2.4,1575156030
0,0,Eng2_05F-04:-62,Eng2_02F_A03:-81,Eng2_02F_A04:-78,Eng2_03F-08:-88,2.4,1575156032
0,0,Eng2_05F-04:-62,Eng2_02F_A03:-81,Eng2_02F_A04:-78,Eng2_03F-08:-88,2.4,1575156034
0,0,Eng2_05F-04:-62,Eng2_02F_A03:-81,Eng2_02F_A04:-78,Eng2_03F-08:-82,2.4,1575156036
0,0,Eng2_05F-04:-62,Eng2_02F_A03:-81,Eng2_03F-08:-82,Eng2_03F-05:-84,2.4,1575156038
0,0,Eng2_05F-04:-62,Eng2_02F_A03:-81,Eng2_03F-08:-80,Eng2_03F-05:-84,2.4,1575156040
0,0,Eng2_05F-04:-62,Eng2_02F_A03:-81,Eng2_03F-08:-80,Eng2_03F-05:-84,2.4,1575156042
0,0,Eng2_05F-04:-62,Eng2_02F_A03:-81,Eng2_03F-08:-83,Eng2_06F-07:-77,2.4,1575156044
2245,303,Eng2_05F-04:-62,Eng2_02F_A03:-81,Eng2_03F-08:-83,Eng2_06F-07:-77,2.4,1575156046
0,0,Eng2_05F-04:-62,Eng2_02F_A03:-84,Eng2_03F-08:-81,Eng2_06F-06:-87,2.4,1575156048
0,0,Eng2_05F-04:-62,Eng2_02F_A03:-84,Eng2_03F-08:-81,Eng2_06F-06:-87,2.4,1575156050
0,0,Eng2_05F-04:-62,Eng2_02F_A03:-79,Eng2_03F-08:-89,Eng2_06F-06:-87,2.4,1575156052
0,0,Eng2_05F-04:-62,Eng2_02F_A03:-75,Eng2_03F-08:-89,Eng2_06F-06:-87,2.4,1575156054
0,0,Eng2_05F-04:-62,Eng2_02F_A03:-74,Eng2_03F-08:-87,Eng2_06F-06:-87,2.4,1575156056
0,0,Eng2_05F-04:-62,Eng2_02F_A03:-74,Eng2_03F-08:-87,Eng2_06F-06:-87,2.4,1575156058
1721,303,Eng2_05F-04:-62,Eng2_02F_A03:-74,Eng2_03F-08:-87,Eng2_02F_A05:-89,2.4,1575156060
0,0,Eng2_05F-04:-62,Eng2_02F_A03:-74,Eng2_03F-08:-87,Eng2_02F_A05:-89,2.4,1575156062
0,0,Eng2_05F-04:-62,Eng2_02F_A03:-76,Eng2_03F-08:-87,Eng2_02F_A05:-89,2.4,1575156064
1721,607,Eng2_05F-04:-62,Eng2_02F_A03:-76,Eng2_03F-08:-87,Eng2_02F_A05:-89,2.4,1575156066
0,0,Eng2_05F-04:-62,Eng2_02F_A03:-81,Eng2_02F_A05:-89,Eng2_06F-06:-75,2.4,1575156068
0,0,Eng2_05F-04:-62,Eng2_02F_A03:-81,Eng2_02F_A05:-89,Eng2_06F-06:-75,2.4,1575156070
0,0,Eng2_05F-04:-62,Eng2_02F_A03:-81,Eng2_03F-08:-86,Eng2_02F_A05:-89,2.4,1575156072
0,0,Eng2_05F-04:-62,Eng2_02F_A03:-81,Eng2_03F-08:-86,Eng2_02F_A05:-89,2.4,1575156074
0,0,Eng2_05F-04:-62,Eng2_02F_A03:-81,Eng2_03F-08:-85,Eng2_02F_A05:-89,2.4,1575156076
0,0,Eng2_05F-04:-62,Eng2_02F_A03:-81,Eng2_03F-08:-85,Eng2_02F_A05:-89,2.4,1575156078
0,0,Eng2_05F-04:-62,Eng2_02F_A03:-81,Eng2_03F-08:-85,Eng2_02F_A05:-89,2.4,1575156080
2245,607,Eng2_05F-04:-62,Eng2_02F_A03:-81,Eng2_03F-08:-86,Eng2_02F_A05:-89,2.4,1575156082
0,0,Eng2_04F-06:-50,Eng2_02F_A03:-81,Eng2_03F-08:-86,Eng2_02F_A05:-89,5,1575156084
0,0,Eng2_04F-06:-50,Eng2_02F_A03:-81,Eng2_03F-08:-87,Eng2_02F_A05:-89,5,1575156086
0,0,Eng2_04F-06:-50,Eng2_02F_A03:-81,Eng2_03F-08:-87,Eng2_02F_A05:-89,5,1575156088
0,0,Eng2_04F-06:-50,Eng2_02F_A03:-81,Eng2_03F-08:-87,Eng2_06F-06:-70,5,1575156090
0,0,Eng2_04F-06:-50,Eng2_02F_A03:-81,Eng2_03F-08:-87,Eng2_06F-06:-70,5,1575156092
0,0,Eng2_04F-06:-50,Eng2_03F-08:-87,Eng2_06F-06:-70,Eng2_05F-07:-78,5,1575156094
0,0,Eng2_04F-06:-50,Eng2_03F-08:-87,Eng2_06F-06:-70,Eng2_05F-07:-78,5,1575156096
1721,607,Eng2_04F-06:-50,Eng2_02F_A03:-80,Eng2_03F-08:-87,Eng2_06F-06:-70,5,1575156098
0,0,Eng2_04F-06:-50,Eng2_02F_A03:-74,Eng2_06F-06:-70,Eng2_05F-07:-78,5,1575156100
0,0,Eng2_04F-06:-50,Eng2_02F_A03:-74,Eng2_02F_A04:-86,Eng2_05F-07:-78,5,1575156102
1721,303,Eng2_04F-06:-50,Eng2_02F_A03:-81,Eng2_02F_A04:-86,Eng2_03F-05:-68,5,1575156104
0,0,Eng2_04F-06:-50,Eng2_02F_A03:-81,Eng2_02F_A04:-86,Eng2_03F-05:-75,5,1575156106
0,0,Eng2_04F-06:-50,Eng2_02F_A03:-81,Eng2_02F_A04:-86,Eng2_03F-05:-75,5,1575156108
0,0,Eng2_04F-06:-50,Eng2_02F_A03:-83,Eng2_02F_A04:-78,Eng2_03F-05:-75,5,1575156110
0,0,Eng2_04F-06:-50,Eng2_02F_A03:-83,Eng2_02F_A04:-78,Eng2_03F-05:-75,5,1575156112
0,0,Eng2_04F-06:-50,Eng2_02F_A03:-83,Eng2_02F_A04:-74,Eng2_03F-05:-75,5,1575156114
1212,303,Eng2_04F-06:-50,Eng2_02F_A03:-83,Eng2_02F_A04:-76,Eng2_03F-05:-75,5,1575156116
0,0,Eng2_04F-06:-61,Eng2_02F_A03:-83,Eng2_02F_A04:-80,Eng2_03F-05:-75,5,1575156118
0,0,Eng2_04F-06:-61,Eng2_02F_A03:-83,Eng2_02F_A04:-80,Eng2_03F-04:-70,5,1575156120
0,0,Eng2_04F-06:-61,Eng2_02F_A03:-83,Eng2_02F_A04:-80,Eng2_03F-04:-70,5,1575156122
0,0,Eng2_04F-06:-61,Eng2_02F_A03:-83,Eng2_02F_A04:-80,Eng2_03F-04:-70,5,1575156124
0,0,Eng2_04F-06:-61,Eng2_02F_A03:-83,Eng2_02F_A04:-80,Eng2_03F-04:-79,5,1575156126
0,0,Eng2_04F-06:-61,Eng2_02F_A03:-83,Eng2_02F_A04:-80,Eng2_03F-04:-74,5,1575156128
0,0,Eng2_04F-06:-61,Eng2_03F-04:-80,Eng2_04F-05:-66,Eng2_03F-02:-69,5,1575156130
533,303,Eng2_04F-06:-61,Eng2_03F-04:-80,Eng2_04F-05:-66,Eng2_03F-02:-69,5,1575156132
0,0,Eng2_04F-06:-61,Eng2_03F-04:-80,Eng2_04F-05:-66,Eng2_03F-02:-69,5,1575156134
0,0,Eng2_04F-06:-61,Eng2_03F-04:-80,Eng2_04F-05:-66,Eng2_03F-02:-69,5,1575156136
533,520,Eng2_04F-06:-61,Eng2_03F-04:-80,Eng2_04F-05:-66,Eng2_03F-02:-69,5,1575156138
0,0,Eng2_04F-06:-61,Eng2_03F-04:-80,Eng2_04F-05:-66,Eng2_03F-02:-69,5,1575156140
533,607,Eng2_04F-06:-61,Eng2_03F-04:-85,Eng2_04F-05:-66,Eng2_06F-02:-77,5,1575156142
0,0,Eng2_04F-06:-61,Eng2_03F-04:-85,Eng2_04F-05:-66,Eng2_06F-02:-77,5,1575156144
0,0,Eng2_04F-06:-61,Eng2_03F-05:-83,Eng2_03F-04:-85,Eng2_06F-02:-77,5,1575156146
0,0,Eng2_04F-06:-61,Eng2_03F-05:-83,Eng2_03F-04:-85,Eng2_06F-02:-77,5,1575156148
0,0,Eng2_04F-06:-61,Eng2_03F-05:-83,Eng2_06F-04:-77,Eng2_03F-04:-85,5,1575156150
0,0,Eng2_04F-06:-61,Eng2_03F-05:-83,Eng2_06F-04:-77,Eng2_03F-04:-85,5,1575156152
0,0,Eng2_04F-06:-61,Eng1_01F_A21:-87,Eng2_03F-05:-77,Eng2_06F-04:-77,5,1575156155
0,0,Eng2_04F-06:-61,Eng1_01F_A21:-87,Eng2_03F-05:-77,Eng2_06F-04:-77,5,1575156157
1212,607,Eng2_04F-06:-61,Eng1_01F_A21:-87,Eng2_03F-05:-82,Eng2_06F-04:-77,5,1575156159
1212,607,Eng2_04F-06:-61,Eng1_01F_A21:-87,Eng2_03F-05:-82,Eng2_06F-04:-77,5,1575156161
