x,y,AP1:RSSI,AP2:RSSI,AP3:RSSI,AP4:RSSI,Capabilities,epochTime,,,,,
1212,303,Eng2_04F-04:-66,Eng2_02F_A04:-78,Eng2_03F-05:-74,Eng2_03F-04:-57,5,1575271903,,1,,"[1168,",0
0,0,Eng2_04F-04:-66,Eng2_02F_A04:-78,Eng2_03F-05:-74,Eng2_03F-04:-57,5,1575271905,,1,," 1168,",0
1212,303,Eng2_04F-04:-66,Eng2_02F_A04:-78,Eng2_03F-05:-74,Eng2_03F-04:-64,5,1575271907,,10,," 1168,",0
1212,303,Eng2_04F-04:-66,Eng2_02F_A04:-78,Eng2_03F-05:-81,Eng2_03F-04:-64,5,1575271909,,10,," 1168,",0
1212,303,Eng2_04F-04:-66,Eng2_02F_A04:-78,Eng2_03F-05:-81,Eng2_03F-04:-56,5,1575271911,,18,," 1168,",0
1212,303,Eng2_04F-04:-66,Eng2_02F_A04:-79,Eng2_03F-05:-81,Eng2_03F-04:-83,5,1575271913,,18,," 1168,",0
1212,303,Eng2_04F-04:-66,Eng2_02F_A04:-79,Eng2_03F-05:-81,Eng2_03F-04:-58,5,1575271915,,9,," 1168,",0
1212,303,Eng2_04F-04:-66,Eng2_02F_A04:-79,Eng2_03F-05:-81,Eng2_03F-04:-58,5,1575271917,,9,," 1168,",0
1212,303,Eng2_04F-04:-66,Eng2_02F_A04:-79,Eng2_03F-05:-81,Eng2_03F-04:-61,5,1575271919,,12,," 1168,",0
1212,303,Eng2_04F-04:-66,Eng2_02F_A04:-80,Eng2_03F-05:-81,Eng2_03F-04:-61,5,1575271921,,12,," 1168,",0
1212,303,Eng2_04F-04:-66,Eng2_02F_A04:-80,Eng2_03F-05:-81,Eng2_03F-04:-61,5,1575271923,,9,," 1168,",0
1212,303,Eng2_04F-04:-66,Eng2_02F_A04:-80,Eng2_03F-05:-81,Eng2_03F-04:-78,5,1575271925,,9,," 1168,",0
1212,303,Eng2_04F-04:-66,Eng2_02F_A04:-80,Eng2_03F-05:-81,Eng2_03F-04:-61,5,1575271927,,9,," 1168,",0
1212,303,Eng2_04F-04:-66,Eng2_02F_A04:-78,Eng2_03F-05:-81,Eng2_03F-04:-64,5,1575271929,,9,," 1168,",0
1212,303,Eng2_04F-04:-66,Eng2_02F_A04:-78,Eng2_03F-05:-81,Eng2_03F-04:-64,5,1575271931,,9,," 1168,",0
0,0,Eng2_04F-04:-66,Eng2_02F_A04:-78,Eng2_03F-05:-81,Eng2_03F-04:-64,5,1575271933,,9,," 1168,",3.06
0,0,Eng2_04F-04:-66,Eng2_02F_A04:-78,Eng2_03F-05:-81,Eng2_03F-04:-75,5,1575271935,,9,," 917,",1.02
1212,607,Eng2_04F-04:-79,Eng2_02F_A04:-78,Eng2_03F-05:-63,Eng2_03F-04:-75,5,1575271937,,9,," 677,",1.438
0,0,Eng2_04F-04:-79,Eng2_02F_A04:-78,Eng2_03F-05:-63,Eng2_03F-04:-75,5,1575271940,,9,," 677,",4.477
0,0,Eng2_04F-04:-79,Eng2_02F_A04:-78,Eng2_03F-05:-61,Eng2_03F-04:-75,5,1575271942,,9,," 677,",6.503
0,0,Eng2_04F-04:-79,Eng2_02F_A04:-78,Eng2_03F-05:-61,Eng2_03F-04:-75,5,1575271944,,9,," 677,",8.529
0,0,Eng2_04F-04:-79,Eng2_02F_A04:-78,Eng2_03F-05:-63,Eng2_03F-04:-75,5,1575271946,,9,," 682,",6.503
0,0,Eng2_04F-04:-79,Eng2_02F_A04:-78,Eng2_03F-05:-63,Eng2_03F-04:-75,5,1575271948,,9,," 687,",3.464
0,0,Eng2_04F-04:-79,Eng2_02F_A04:-78,Eng2_06F-06:-71,Eng2_03F-05:-50,5,1575271950,,9,," 692,",1.438
1721,607,Eng2_04F-04:-79,Eng2_02F_A04:-78,Eng2_06F-06:-71,Eng2_03F-05:-50,5,1575271952,,18,," 621,",1.013
0,0,Eng2_04F-04:-79,Eng2_02F_A03:-67,Eng2_02F_A04:-78,Eng2_06F-06:-71,5,1575271954,,18,," 822,",0
0,0,Eng2_04F-04:-79,Eng2_02F_A03:-67,Eng2_02F_A04:-78,Eng2_06F-06:-71,5,1575271956,,18,," 822,",2.04
0,0,Eng2_04F-04:-79,Eng2_02F_A03:-78,Eng2_02F_A04:-78,Eng2_06F-06:-71,5,1575271958,,18,," 621,",8.578
1721,303,Eng2_04F-04:-79,Eng2_02F_A03:-78,Eng2_02F_A04:-78,Eng2_06F-06:-71,5,1575271960,,18,," 821,",7.558
0,0,Eng2_04F-04:-79,Eng2_02F_A03:-78,Eng2_02F_A04:-76,Eng2_06F-06:-71,5,1575271962,,18,," 1077,",2.876
0,0,Eng2_04F-04:-79,Eng2_02F_A03:-78,Eng2_02F_A04:-76,Eng2_06F-06:-71,5,1575271964,,10,," 1184,",5.065
0,0,Eng2_04F-04:-79,Eng2_02F_A03:-78,Eng2_02F_A04:-74,Eng2_06F-06:-71,5,1575271966,,10,," 1179,",2.026
0,0,Eng2_04F-04:-79,Eng2_02F_A03:-78,Eng2_02F_A04:-74,Eng2_06F-06:-71,5,1575271968,,12,," 1179,",5.065
0,0,Eng2_04F-04:-79,Eng2_02F_A03:-78,Eng2_02F_A04:-76,Eng2_06F-06:-71,5,1575271970,,12,," 1184,",13.169
0,0,Eng2_04F-04:-79,Eng2_02F_A03:-78,Eng2_02F_A04:-76,Eng2_06F-06:-71,5,1575271972,,12,," 1180,",12.156
0,0,Eng2_04F-04:-79,Eng2_02F_A03:-78,Eng2_02F_A04:-76,Eng2_06F-06:-71,5,1575271974,,14,," 1175,",9.117
0,0,Eng2_04F-04:-79,Eng2_02F_A03:-78,Eng2_02F_A04:-76,Eng2_06F-06:-71,5,1575271976,,14,," 1170,",7.091
0,0,Eng2_04F-04:-79,Eng2_02F_A03:-78,Eng2_02F_A04:-76,Eng2_06F-06:-71,5,1575271978,,29,," 1165,",5.065
0,0,Eng2_04F-04:-79,Eng2_02F_A03:-78,Eng2_02F_A04:-76,Eng2_03F-05:-71,5,1575271980,,29,," 1160,",3.039
0,0,Eng2_04F-04:-79,Eng2_02F_A03:-78,Eng2_02F_A04:-76,Eng2_03F-05:-71,5,1575271982,,31,," 1155,",0
0,0,Eng2_04F-04:-79,Eng2_02F_A03:-78,Eng2_02F_A04:-76,Eng2_03F-05:-71,5,1575271984,,31,," 1150,",2.026
0,0,Eng2_04F-04:-79,Eng2_02F_A03:-78,Eng2_02F_A04:-76,Eng2_03F-05:-71,5,1575271986,,23,, 1096],3.464
533,303,Eng2_04F-04:-79,Eng2_02F_A03:-78,Eng2_02F_A04:-76,Eng2_03F-05:-71,5,1575271988,,23,,,
,,,,,,,,,23,,,
,,,,,,,,,23,,,
,,,,,,,,,12,,,
,,,,,,,,,12,,,
,,,,,,,,,12,,,
,,,,,,,,,12,,,
,,,,,,,,,15,,,
,,,,,,,,,15,,,
,,,,,,,,,15,,,
,,,,,,,,,15,,,
,,,,,,,,,34,,,
,,,,,,,,,34,,,
,,,,,,,,,47,,,
,,,,,,,,,47,,,
,,,,,,,,,56,,,
,,,,,,,,,56,,,
,,,,,,,,,69,,,
,,,,,,,,,69,,,
,,,,,,,,,48,,,
,,,,,,,,,48,,,
,,,,,,,,,59,,,
,,,,,,,,,59,,,
,,,,,,,,,71,,,
,,,,,,,,,71,,,
,,,,,,,,,81,,,
,,,,,,,,,81,,,
,,,,,,,,,87,,,
,,,,,,,,,87,,,
,,,,,,,,,94,,,
,,,,,,,,,94,,,
,,,,,,,,,94,,,
,,,,,,,,,94,,,
,,,,,,,,,56,,,
,,,,,,,,,56,,,
,,,,,,,,,71,,,
,,,,,,,,,71,,,
,,,,,,,,,80,,,
,,,,,,,,,80,,,
,,,,,,,,,80,,,
,,,,,,,,,80,,,
