x,y,AP1:RSSI,AP2:RSSI,AP3:RSSI,AP4:RSSI,Capabilities,epochTime,,,,,,
1212,303,Eng2_04F-04:-71,Eng2_02F_A03:-84,Eng2_02F_A04:-70,Eng2_01F_A01:-73,5,1575160409,,9,,"[ 1168,",,0
0,0,Eng2_04F-04:-71,Eng2_02F_A03:-84,Eng2_02F_A04:-70,Eng2_01F_A01:-73,5,1575160411,,9,," 1168,",,3.039
0,0,Eng2_04F-04:-71,Eng2_02F_A03:-84,Eng2_02F_A04:-77,Eng2_01F_A01:-73,5,1575160413,,29,," 1168,",,5.065
0,0,Eng2_04F-04:-71,Eng2_02F_A03:-84,Eng2_02F_A04:-77,Eng2_01F_A01:-73,5,1575160415,,29,," 1171,",,7.091
0,0,Eng2_04F-04:-71,Eng2_02F_A03:-73,Eng2_02F_A04:-77,Eng2_01F_A01:-73,5,1575160417,,38,," 1173,",,7.091
0,0,Eng2_04F-04:-71,Eng2_02F_A03:-73,Eng2_02F_A04:-77,Eng2_01F_A01:-73,5,1575160419,,38,," 1178,",,7.091
0,0,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_02F_A04:-77,Eng2_03F-05:-65,5,1575160421,,29,," 1180,",,5.065
1721,303,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_02F_A04:-77,Eng2_03F-05:-65,5,1575160423,,29,," 1077,",,5.065
0,0,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_03F-05:-61,Eng2_03F-04:-82,5,1575160425,,29,," 1077,",,1.013
0,0,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_03F-05:-61,Eng2_03F-04:-82,5,1575160427,,29,," 1129,",,3.478
0,0,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_06F-06:-78,Eng2_03F-05:-59,5,1575160429,,23,," 878,",,6.538
1721,607,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_06F-06:-78,Eng2_03F-05:-59,5,1575160431,,23,," 624,",,4.498
0,0,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_06F-06:-76,Eng2_05F-07:-79,5,1575160433,,26,," 624,",,0
0,0,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_06F-06:-76,Eng2_05F-07:-79,5,1575160435,,26,," 629,",,3.039
0,0,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_03F-08:-85,Eng2_06F-06:-71,5,1575160437,,18,," 634,",,0
0,0,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_03F-08:-85,Eng2_06F-06:-71,5,1575160439,,18,," 638,",,2.026
0,0,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_03F-08:-79,Eng2_06F-06:-71,5,1575160441,,18,," 638,",,4.052
0,0,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_03F-08:-79,Eng2_06F-06:-71,5,1575160443,,18,," 638,",,1.013
2245,607,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_03F-08:-85,Eng2_06F-06:-71,5,1575160445,,19,," 638,",,1.013
0,0,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_03F-08:-85,Eng2_06F-06:-71,5,1575160447,,19,," 633,",,1.013
0,0,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_03F-08:-85,Eng2_06F-06:-91,5,1575160449,,19,," 628,",,2.026
0,0,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_03F-08:-85,Eng2_06F-06:-78,5,1575160451,,19,," 623,",,5.065
0,0,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_03F-08:-85,Eng2_06F-06:-78,5,1575160453,,13,," 623,",,7.091
0,0,Eng2_04F-04:-71,Eng2_03F-08:-85,Eng2_06F-06:-78,Eng2_05F-07:-79,5,1575160455,,13,," 621,",,5.065
