x,y,AP1:RSSI,AP2:RSSI,AP3:RSSI,AP4:RSSI,Capabilities,epochTime,,,,
1212,607,Eng2_04F-04:-66,Eng2_02F_A04:-77,Eng2_03F-05:-78,Eng2_06F-04:-80,5,1575272079,,5,,"[605,"
0,0,Eng2_04F-04:-66,Eng2_02F_A04:-77,Eng2_03F-05:-68,Eng2_06F-04:-80,5,1575272081,,5,," 609,"
0,0,Eng2_04F-04:-66,Eng2_02F_A04:-77,Eng2_03F-05:-68,Eng2_06F-04:-80,5,1575272083,,15,," 612,"
0,0,Eng2_04F-04:-66,Eng2_02F_A04:-77,Eng2_03F-05:-68,Eng2_06F-04:-80,5,1575272085,,15,," 615,"
0,0,Eng2_04F-04:-66,Eng2_02F_A04:-77,Eng2_03F-05:-68,Eng2_06F-04:-80,5,1575272087,,23,," 619,"
1721,607,Eng2_04F-04:-66,Eng2_02F_A03:-77,Eng2_02F_A04:-77,Eng2_03F-05:-66,5,1575272089,,23,," 622,"
0,0,Eng2_04F-04:-66,Eng2_02F_A03:-77,Eng2_02F_A04:-77,Eng2_03F-05:-66,5,1575272091,,24,," 622,"
0,0,Eng2_04F-04:-66,Eng2_02F_A03:-77,Eng2_02F_A04:-77,Eng2_03F-05:-70,5,1575272093,,24,," 822,"
0,0,Eng2_04F-04:-66,Eng2_02F_A03:-77,Eng2_02F_A04:-77,Eng2_03F-05:-70,5,1575272095,,16,," 822,"
1721,303,Eng2_04F-04:-66,Eng2_02F_A03:-77,Eng2_02F_A04:-77,Eng2_03F-05:-70,5,1575272097,,16,," 933,"
0,0,Eng2_04F-04:-66,Eng2_02F_A03:-77,Eng2_02F_A04:-77,Eng2_03F-05:-70,5,1575272099,,25,," 1126,"
0,0,Eng2_04F-04:-66,Eng2_02F_A03:-77,Eng2_02F_A04:-74,Eng2_03F-05:-70,5,1575272101,,25,," 1179,"
0,0,Eng2_04F-04:-66,Eng2_02F_A03:-77,Eng2_02F_A04:-74,Eng2_03F-05:-70,5,1575272103,,37,," 1179,"
0,0,Eng2_04F-04:-66,Eng2_02F_A03:-77,Eng2_02F_A04:-74,Eng2_03F-05:-70,5,1575272105,,37,," 1179,"
1212,303,Eng2_04F-04:-66,Eng2_02F_A03:-77,Eng2_02F_A04:-74,Eng2_03F-05:-70,5,1575272107,,47,," 1176,"
0,0,Eng2_04F-04:-66,Eng2_02F_A03:-77,Eng2_02F_A04:-74,Eng2_03F-05:-70,5,1575272109,,47,," 1172,"
0,0,Eng2_04F-04:-66,Eng2_02F_A03:-77,Eng2_02F_A04:-74,Eng2_03F-05:-70,5,1575272111,,61,," 1168,"
0,0,Eng2_04F-04:-66,Eng2_02F_A03:-77,Eng2_02F_A04:-74,Eng2_03F-05:-70,5,1575272113,,61,," 1164,"
0,0,Eng2_04F-04:-66,Eng2_02F_A03:-77,Eng2_02F_A04:-74,Eng2_03F-05:-70,5,1575272115,,75,," 1160,"
0,0,Eng2_04F-04:-49,Eng2_02F_A03:-77,Eng2_02F_A04:-74,Eng2_03F-05:-70,5,1575272117,,75,," 1156,"
0,0,Eng2_04F-04:-49,Eng2_02F_A04:-74,Eng2_03F-05:-70,Eng2_03F-04:-72,5,1575272119,,52,," 1152,"
0,0,Eng2_04F-04:-49,Eng2_02F_A04:-74,Eng2_03F-05:-70,Eng2_03F-04:-72,5,1575272121,,52,," 1152,"
533,303,Eng2_04F-04:-49,Eng2_02F_A04:-74,Eng2_03F-05:-70,Eng2_03F-04:-72,5,1575272123,,67,," 1149,"
0,0,Eng2_04F-04:-49,Eng2_02F_A04:-74,Eng2_03F-04:-72,Eng2_04F-05:-69,5,1575272125,,67,," 1047,"
0,0,Eng2_04F-04:-49,Eng2_02F_A04:-74,Eng2_03F-04:-72,Eng2_04F-05:-69,5,1575272127,,71,," 839,"
0,0,Eng2_04F-04:-49,Eng2_02F_A04:-74,Eng2_03F-04:-72,Eng2_04F-05:-69,5,1575272129,,71,," 728,"
533,607,Eng2_04F-04:-49,Eng2_02F_A04:-74,Eng2_03F-04:-72,Eng2_04F-05:-69,5,1575272131,,71,, 583]
,,,,,,,,,71,,
,,,,,,,,,71,,
,,,,,,,,,71,,
,,,,,,,,,71,,
,,,,,,,,,71,,
,,,,,,,,,71,,
,,,,,,,,,71,,
,,,,,,,,,71,,
,,,,,,,,,71,,
,,,,,,,,,9,,
,,,,,,,,,9,,
,,,,,,,,,23,,
,,,,,,,,,23,,
,,,,,,,,,32,,
,,,,,,,,,32,,
,,,,,,,,,32,,
,,,,,,,,,32,,
,,,,,,,,,15,,
,,,,,,,,,15,,
,,,,,,,,,26,,
,,,,,,,,,26,,
,,,,,,,,,26,,
,,,,,,,,,26,,
,,,,,,,,,26,,
,,,,,,,,,26,,
,,,,,,,,,26,,
