x,y,AP1:RSSI,AP2:RSSI,AP3:RSSI,AP4:RSSI,Capabilities,epochTime
560,100,Eng2_04F-05:-60,Eng2_02F_A03:-73,108-4F-06:-87,Eng2_03F-05:-59,5,1574980293
530,100,Eng2_04F-05:-60,Eng2_02F_A03:-88,Eng2_03F-05:-80,Eng2_03F-04:-85,5,1574980295
490,100,Eng2_04F-05:-60,Eng2_02F_A03:-88,Eng2_03F-05:-80,Eng2_03F-04:-85,5,1574980297
460,100,Eng2_04F-05:-60,Eng2_02F_A03:-87,Eng2_02F_A04:-79,Eng2_03F-05:-80,5,1574980299
430,100,Eng2_04F-01:-83,Eng2_02F_A03:-87,Eng2_02F_A04:-79,Eng2_03F-05:-80,5,1574980301
390,100,Eng2_04F-01:-83,Eng2_02F_A03:-87,Eng2_02F_A04:-76,Eng2_06F-04:-81,5,1574980303
370,100,Eng2_04F-01:-83,Eng2_02F_A03:-87,Eng2_02F_A04:-76,Eng2_06F-04:-81,5,1574980305
340,100,Eng2_04F-01:-83,Eng2_02F_A03:-87,Eng2_02F_A04:-76,Eng2_06F-04:-81,5,1574980307
310,100,Eng2_04F-01:-83,Eng2_02F_A03:-87,Eng2_02F_A04:-76,Eng2_06F-04:-81,5,1574980309
280,100,Eng2_04F-01:-83,Eng2_02F_A03:-87,Eng2_02F_A04:-76,Eng2_06F-04:-81,5,1574980311
260,100,Eng2_04F-01:-83,Eng2_02F_A03:-87,Eng2_02F_A04:-76,Eng2_06F-04:-81,5,1574980313
230,100,Eng2_04F-01:-83,Eng2_02F_A04:-76,Eng2_06F-04:-81,Eng2_03F-04:-72,5,1574980316
200,100,Eng2_04F-01:-83,Eng2_02F_A04:-76,Eng2_06F-04:-81,Eng2_03F-04:-72,5,1574980318
170,100,Eng2_04F-01:-83,Eng2_02F_A04:-80,Eng2_06F-04:-81,Eng2_03F-04:-81,5,1574980320
170,120,Eng2_04F-01:-83,Eng2_02F_A04:-80,Eng2_06F-04:-81,Eng2_03F-04:-81,5,1574980322
170,150,Eng2_04F-01:-83,Eng2_02F_A04:-80,Eng2_06F-04:-81,Eng2_03F-04:-81,5,1574980324
170,170,Eng2_04F-01:-83,Eng2_02F_A04:-80,Eng2_06F-04:-81,Eng2_03F-04:-81,5,1574980326
170,200,Eng2_04F-01:-83,Eng2_03F-04:-81,Eng2_04F-05:-76,Eng2_03F-02:-63,5,1574980328
200,200,Eng2_04F-01:-83,Eng2_03F-04:-81,Eng2_04F-05:-76,Eng2_03F-02:-63,5,1574980330
230,200,Eng2_04F-01:-82,Eng2_03F-04:-81,Eng2_04F-05:-83,Eng2_03F-02:-63,5,1574980332
260,200,Eng2_04F-01:-82,Eng2_03F-04:-81,Eng2_04F-05:-83,Eng2_03F-02:-63,5,1574980334
280,200,Eng2_04F-01:-82,Eng2_03F-04:-83,Eng2_04F-05:-81,Eng2_05F-05:-84,5,1574980336
310,200,Eng2_04F-01:-82,Eng1_01F_A21:-97,Eng2_03F-05:-81,Eng2_03F-04:-84,5,1574980338
340,200,Eng2_04F-01:-82,Eng1_01F_A22:-91,Eng1_01F_A21:-90,Eng2_03F-05:-81,5,1574980340
370,200,Eng2_04F-01:-82,Eng1_01F_A22:-91,Eng1_01F_A21:-92,Eng2_02F_A04:-92,5,1574980342
390,200,Eng2_04F-01:-82,Eng1_01F_A22:-91,Eng1_01F_A21:-91,Eng2_02F_A04:-92,5,1574980344
420,200,Eng2_04F-01:-82,Eng1_01F_A22:-91,Eng1_01F_A21:-91,Eng2_02F_A04:-92,5,1574980346
450,200,Eng2_04F-01:-82,Eng1_01F_A22:-91,Eng1_01F_A21:-91,Eng2_02F_A04:-92,5,1574980348
480,200,Eng2_04F-01:-82,Eng1_01F_A22:-91,Eng1_01F_A21:-91,Eng2_02F_A04:-92,5,1574980350
500,200,Eng2_04F-01:-82,Eng2_02F_A03:-84,Eng1_01F_A22:-91,Eng1_01F_A21:-91,5,1574980352
530,200,Eng2_04F-01:-82,Eng2_02F_A03:-84,Eng1_01F_A21:-91,Eng2_06F-06:-73,5,1574980354
560,200,Eng2_04F-01:-82,Eng2_02F_A03:-84,Eng1_01F_A21:-91,Eng2_06F-06:-82,5,1574980356
580,200,Eng2_04F-01:-82,Eng2_02F_A03:-84,Eng1_01F_A21:-91,Eng2_06F-06:-82,5,1574980358
610,200,Eng2_04F-01:-82,Eng2_02F_A03:-84,Eng1_01F_A21:-91,Eng2_06F-06:-66,5,1574980360
630,200,Eng2_04F-01:-82,Eng2_02F_A03:-84,Eng1_01F_A21:-91,Eng2_06F-06:-66,5,1574980362
660,200,Eng2_04F-01:-82,Eng2_02F_A03:-84,Eng2_03F-08:-87,Eng2_06F-06:-66,5,1574980364
680,200,Eng2_04F-01:-82,Eng2_02F_A03:-84,Eng2_03F-08:-82,Eng2_06F-06:-76,5,1574980366
710,200,Eng2_04F-01:-82,Eng2_02F_A03:-84,Eng2_03F-08:-82,Eng2_06F-06:-69,5,1574980368
730,200,Eng2_04F-01:-82,Eng2_02F_A03:-84,Eng2_03F-08:-82,Eng2_06F-06:-69,5,1574980370
710,200,Eng2_04F-01:-82,Eng2_02F_A03:-84,Eng2_03F-08:-89,Eng2_06F-06:-75,5,1574980372
