x,y,AP1:RSSI,AP2:RSSI,AP3:RSSI,AP4:RSSI,Capabilities,epochTime
390.0,100.0,Eng2_04F-04:-66,Eng2_02F_A04:-78,Eng2_03F-05:-74,Eng2_03F-04:-57,5.0,1575271903.0
390.0,100.0,Eng2_04F-04:-66,Eng2_02F_A04:-78,Eng2_03F-05:-74,Eng2_03F-04:-57,5.0,1575271905.0
390.0,100.0,Eng2_04F-04:-66,Eng2_02F_A04:-78,Eng2_03F-05:-74,Eng2_03F-04:-64,5.0,1575271907.0
390.0,100.0,Eng2_04F-04:-66,Eng2_02F_A04:-78,Eng2_03F-05:-81,Eng2_03F-04:-64,5.0,1575271909.0
390.0,100.0,Eng2_04F-04:-66,Eng2_02F_A04:-78,Eng2_03F-05:-81,Eng2_03F-04:-56,5.0,1575271911.0
390.0,100.0,Eng2_04F-04:-66,Eng2_02F_A04:-79,Eng2_03F-05:-81,Eng2_03F-04:-83,5.0,1575271913.0
390.0,100.0,Eng2_04F-04:-66,Eng2_02F_A04:-79,Eng2_03F-05:-81,Eng2_03F-04:-58,5.0,1575271915.0
390.0,100.0,Eng2_04F-04:-66,Eng2_02F_A04:-79,Eng2_03F-05:-81,Eng2_03F-04:-58,5.0,1575271917.0
390.0,100.0,Eng2_04F-04:-66,Eng2_02F_A04:-79,Eng2_03F-05:-81,Eng2_03F-04:-61,5.0,1575271919.0
390.0,100.0,Eng2_04F-04:-66,Eng2_02F_A04:-80,Eng2_03F-05:-81,Eng2_03F-04:-61,5.0,1575271921.0
390.0,100.0,Eng2_04F-04:-66,Eng2_02F_A04:-80,Eng2_03F-05:-81,Eng2_03F-04:-61,5.0,1575271923.0
390.0,100.0,Eng2_04F-04:-66,Eng2_02F_A04:-80,Eng2_03F-05:-81,Eng2_03F-04:-78,5.0,1575271925.0
390.0,100.0,Eng2_04F-04:-66,Eng2_02F_A04:-80,Eng2_03F-05:-81,Eng2_03F-04:-61,5.0,1575271927.0
