x,y,AP1:RSSI,AP2:RSSI,AP3:RSSI,AP4:RSSI,Capabilities,epochTime
390.0,200.0,Eng2_04F-04:-66,Eng2_02F_A04:-77,Eng2_03F-05:-78,Eng2_06F-04:-80,5.0,1575272079.0
430.0,200.0,Eng2_04F-04:-66,Eng2_02F_A04:-77,Eng2_03F-05:-68,Eng2_06F-04:-80,5.0,1575272081.0
460.0,200.0,Eng2_04F-04:-66,Eng2_02F_A04:-77,Eng2_03F-05:-68,Eng2_06F-04:-80,5.0,1575272083.0
490.0,200.0,Eng2_04F-04:-66,Eng2_02F_A04:-77,Eng2_03F-05:-68,Eng2_06F-04:-80,5.0,1575272085.0
530.0,200.0,Eng2_04F-04:-66,Eng2_02F_A04:-77,Eng2_03F-05:-68,Eng2_06F-04:-80,5.0,1575272087.0
560.0,200.0,Eng2_04F-04:-66,Eng2_02F_A03:-77,Eng2_02F_A04:-77,Eng2_03F-05:-66,5.0,1575272089.0
560.0,170.0,Eng2_04F-04:-66,Eng2_02F_A03:-77,Eng2_02F_A04:-77,Eng2_03F-05:-66,5.0,1575272091.0
560.0,150.0,Eng2_04F-04:-66,Eng2_02F_A03:-77,Eng2_02F_A04:-77,Eng2_03F-05:-70,5.0,1575272093.0
560.0,120.0,Eng2_04F-04:-66,Eng2_02F_A03:-77,Eng2_02F_A04:-77,Eng2_03F-05:-70,5.0,1575272095.0
560.0,100.0,Eng2_04F-04:-66,Eng2_02F_A03:-77,Eng2_02F_A04:-77,Eng2_03F-05:-70,5.0,1575272097.0
530.0,100.0,Eng2_04F-04:-66,Eng2_02F_A03:-77,Eng2_02F_A04:-77,Eng2_03F-05:-70,5.0,1575272099.0
490.0,100.0,Eng2_04F-04:-66,Eng2_02F_A03:-77,Eng2_02F_A04:-74,Eng2_03F-05:-70,5.0,1575272101.0
460.0,100.0,Eng2_04F-04:-66,Eng2_02F_A03:-77,Eng2_02F_A04:-74,Eng2_03F-05:-70,5.0,1575272103.0
430.0,100.0,Eng2_04F-04:-66,Eng2_02F_A03:-77,Eng2_02F_A04:-74,Eng2_03F-05:-70,5.0,1575272105.0
390.0,100.0,Eng2_04F-04:-66,Eng2_02F_A03:-77,Eng2_02F_A04:-74,Eng2_03F-05:-70,5.0,1575272107.0
370.0,100.0,Eng2_04F-04:-66,Eng2_02F_A03:-77,Eng2_02F_A04:-74,Eng2_03F-05:-70,5.0,1575272109.0
340.0,100.0,Eng2_04F-04:-66,Eng2_02F_A03:-77,Eng2_02F_A04:-74,Eng2_03F-05:-70,5.0,1575272111.0
310.0,100.0,Eng2_04F-04:-66,Eng2_02F_A03:-77,Eng2_02F_A04:-74,Eng2_03F-05:-70,5.0,1575272113.0
280.0,100.0,Eng2_04F-04:-66,Eng2_02F_A03:-77,Eng2_02F_A04:-74,Eng2_03F-05:-70,5.0,1575272115.0
260.0,100.0,Eng2_04F-04:-49,Eng2_02F_A03:-77,Eng2_02F_A04:-74,Eng2_03F-05:-70,5.0,1575272117.0
230.0,100.0,Eng2_04F-04:-49,Eng2_02F_A04:-74,Eng2_03F-05:-70,Eng2_03F-04:-72,5.0,1575272119.0
200.0,100.0,Eng2_04F-04:-49,Eng2_02F_A04:-74,Eng2_03F-05:-70,Eng2_03F-04:-72,5.0,1575272121.0
170.0,100.0,Eng2_04F-04:-49,Eng2_02F_A04:-74,Eng2_03F-05:-70,Eng2_03F-04:-72,5.0,1575272123.0
170.0,120.0,Eng2_04F-04:-49,Eng2_02F_A04:-74,Eng2_03F-04:-72,Eng2_04F-05:-69,5.0,1575272125.0
170.0,150.0,Eng2_04F-04:-49,Eng2_02F_A04:-74,Eng2_03F-04:-72,Eng2_04F-05:-69,5.0,1575272127.0
170.0,170.0,Eng2_04F-04:-49,Eng2_02F_A04:-74,Eng2_03F-04:-72,Eng2_04F-05:-69,5.0,1575272129.0
170.0,200.0,Eng2_04F-04:-49,Eng2_02F_A04:-74,Eng2_03F-04:-72,Eng2_04F-05:-69,5.0,1575272131.0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
