spatialstrmClients,Hostname,Capabilities,Device Type,NeighborMac,ChannelwidthAp,Channel,Username,MacAddress,RSSI,CCXV,Status,ChannelWidth,maxAprate,AP Mac Address,ConnRate,ConnScore,volume,Heard By,AP Name,SpatialStream,ChannelwidthClient,SSID,spatialstrmAp,maxClientrate,SNR,epochTime
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:7e:1e:90,38:20:56:7e:27:d8,38:20:56:80:26:20'",b'40',b'36',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'-64',b'1',b'2481',b'40',b'600',b'80:e8:6f:d8:09:e8',b'200',b'46',b'755669',"b'Eng1_01F_A17(-80 dBm),Eng1_02F_A04(-85 dBm),Eng1_01F_A21(-83 dBm)'",b'Community-1F-01',b'2',b'80',b'WUNIST_AAA',b'3',b'433',b'30',1575160282.2214143
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:7e:1e:90,38:20:56:7e:27:d8,38:20:56:80:26:20'",b'40',b'36',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'-64',b'1',b'2483',b'40',b'600',b'80:e8:6f:d8:09:e8',b'200',b'46',b'755669',"b'Eng1_01F_A17(-80 dBm),Eng1_02F_A04(-85 dBm),Eng1_01F_A21(-83 dBm)'",b'Community-1F-01',b'2',b'80',b'WUNIST_AAA',b'3',b'433',b'30',1575160284.2353969
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:7e:1e:90,38:20:56:7e:27:d8,38:20:56:80:26:20'",b'40',b'36',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'-64',b'1',b'2485',b'40',b'600',b'80:e8:6f:d8:09:e8',b'200',b'46',b'755669',"b'Eng1_01F_A17(-80 dBm),Eng1_02F_A04(-85 dBm),Eng1_01F_A21(-83 dBm)'",b'Community-1F-01',b'2',b'80',b'WUNIST_AAA',b'3',b'433',b'30',1575160286.2516084
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:7e:1e:90,38:20:56:7e:27:d8,38:20:56:80:26:20'",b'40',b'36',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'-64',b'1',b'2487',b'40',b'600',b'80:e8:6f:d8:09:e8',b'200',b'46',b'755669',"b'Eng1_01F_A17(-80 dBm),Eng1_02F_A04(-85 dBm),Eng1_01F_A21(-83 dBm)'",b'Community-1F-01',b'2',b'80',b'WUNIST_AAA',b'3',b'433',b'30',1575160288.264487
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:7e:1e:90,38:20:56:7e:27:d8,38:20:56:80:26:20'",b'40',b'36',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'-64',b'1',b'2489',b'40',b'600',b'80:e8:6f:d8:09:e8',b'200',b'46',b'755669',"b'Eng1_01F_A17(-80 dBm),Eng1_02F_A04(-85 dBm),Eng1_01F_A21(-83 dBm)'",b'Community-1F-01',b'2',b'80',b'WUNIST_AAA',b'3',b'433',b'30',1575160290.2769718
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:7e:1e:90,38:20:56:7e:27:d8,38:20:56:80:26:20'",b'40',b'36',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'-64',b'1',b'2491',b'40',b'600',b'80:e8:6f:d8:09:e8',b'200',b'46',b'755669',"b'Eng1_01F_A17(-80 dBm),Eng1_02F_A04(-85 dBm),Eng1_01F_A21(-83 dBm)'",b'Community-1F-01',b'2',b'80',b'WUNIST_AAA',b'3',b'433',b'30',1575160292.2894483
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:7e:1e:90,38:20:56:7e:27:d8,38:20:56:80:26:20'",b'40',b'36',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'-63',b'1',b'2493',b'40',b'600',b'80:e8:6f:d8:09:e8',b'200',b'46',b'755973',"b'Eng1_01F_A17(-80 dBm),Eng1_02F_A04(-85 dBm),Eng1_01F_A21(-83 dBm)'",b'Community-1F-01',b'2',b'80',b'WUNIST_AAA',b'3',b'433',b'31',1575160294.3059635
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:7e:1e:90,38:20:56:7e:27:d8,38:20:56:80:26:20'",b'40',b'36',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'-63',b'1',b'2495',b'40',b'600',b'80:e8:6f:d8:09:e8',b'200',b'46',b'755973',"b'Eng1_01F_A17(-80 dBm),Eng1_02F_A04(-85 dBm),Eng1_01F_A21(-83 dBm)'",b'Community-1F-01',b'2',b'80',b'WUNIST_AAA',b'3',b'433',b'31',1575160296.315646
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:7e:1e:90,38:20:56:7e:27:d8,38:20:56:80:26:20'",b'40',b'36',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'-63',b'1',b'2497',b'40',b'600',b'80:e8:6f:d8:09:e8',b'200',b'46',b'755973',"b'Eng1_01F_A17(-80 dBm),Eng1_02F_A04(-85 dBm),Eng1_01F_A21(-83 dBm)'",b'Community-1F-01',b'2',b'80',b'WUNIST_AAA',b'3',b'433',b'31',1575160298.330486
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:7e:1e:90,38:20:56:7e:27:d8,38:20:56:80:26:20'",b'40',b'36',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'-63',b'1',b'2499',b'40',b'600',b'80:e8:6f:d8:09:e8',b'200',b'46',b'755973',"b'Eng1_01F_A17(-80 dBm),Eng1_02F_A04(-85 dBm),Eng1_01F_A21(-83 dBm)'",b'Community-1F-01',b'2',b'80',b'WUNIST_AAA',b'3',b'433',b'31',1575160300.3406227
