spatialstrmClients,Hostname,Capabilities,Device Type,NeighborMac,ChannelwidthAp,Channel,Username,MacAddress,RSSI,CCXV,Status,ChannelWidth,maxAprate,AP Mac Address,ConnRate,ConnScore,volume,Heard By,AP Name,SpatialStream,ChannelwidthClient,SSID,spatialstrmAp,maxClientrate,SNR,epochTime
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:80:27:48,38:20:56:84:51:c0,80:e8:6f:d8:0a:00'",b'40',b'64',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'0',b'1',b'4',b'40',b'600',b'80:e8:6f:d8:09:e8',b'0',b'0',b'0',"b'Eng2_02F_A04(-74 dBm),Eng2_01F_A01(-84 dBm),Community-1F-02(-60 dBm)'",b'Community-1F-01',b'0',b'80',b'WUNIST_AAA',b'3',b'433',b'0',1575271655.031858
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:80:27:48,38:20:56:84:51:c0,80:e8:6f:d8:0a:00'",b'40',b'64',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'0',b'1',b'6',b'40',b'600',b'80:e8:6f:d8:09:e8',b'0',b'0',b'0',"b'Eng2_02F_A04(-74 dBm),Eng2_01F_A01(-84 dBm),Community-1F-02(-60 dBm)'",b'Community-1F-01',b'0',b'80',b'WUNIST_AAA',b'3',b'433',b'0',1575271657.042798
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:80:27:48,38:20:56:84:51:c0,80:e8:6f:d8:0a:00'",b'40',b'64',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'0',b'1',b'8',b'40',b'600',b'80:e8:6f:d8:09:e8',b'0',b'0',b'0',"b'Eng2_02F_A04(-74 dBm),Eng2_01F_A01(-84 dBm),Community-1F-02(-60 dBm)'",b'Community-1F-01',b'0',b'80',b'WUNIST_AAA',b'3',b'433',b'0',1575271659.0547829
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:80:27:48,38:20:56:84:51:c0,80:e8:6f:d8:0a:00'",b'40',b'64',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'0',b'1',b'10',b'40',b'600',b'80:e8:6f:d8:09:e8',b'0',b'0',b'0',"b'Eng2_02F_A04(-74 dBm),Eng2_01F_A01(-84 dBm),Community-1F-02(-60 dBm)'",b'Community-1F-01',b'0',b'80',b'WUNIST_AAA',b'3',b'433',b'0',1575271661.0664926
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:80:27:48,38:20:56:84:51:c0,80:e8:6f:d8:0a:00'",b'40',b'64',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'0',b'1',b'12',b'40',b'600',b'80:e8:6f:d8:09:e8',b'0',b'0',b'0',"b'Eng2_02F_A04(-74 dBm),Eng2_01F_A01(-84 dBm),Community-1F-02(-67 dBm)'",b'Community-1F-01',b'0',b'80',b'WUNIST_AAA',b'3',b'433',b'0',1575271663.08117
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:80:27:48,38:20:56:84:51:c0,80:e8:6f:d8:0a:00'",b'40',b'64',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'0',b'1',b'14',b'40',b'600',b'80:e8:6f:d8:09:e8',b'0',b'0',b'0',"b'Eng2_02F_A04(-74 dBm),Eng2_01F_A01(-84 dBm),Community-1F-02(-67 dBm)'",b'Community-1F-01',b'0',b'80',b'WUNIST_AAA',b'3',b'433',b'0',1575271665.1836927
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:80:27:48,38:20:56:84:51:c0,80:e8:6f:d8:0a:00'",b'40',b'64',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'0',b'1',b'16',b'40',b'600',b'80:e8:6f:d8:09:e8',b'0',b'0',b'0',"b'Eng2_02F_A04(-74 dBm),Eng2_01F_A01(-84 dBm),Community-1F-02(-67 dBm)'",b'Community-1F-01',b'0',b'80',b'WUNIST_AAA',b'3',b'433',b'0',1575271667.1995711
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:80:27:48,38:20:56:84:51:c0,80:e8:6f:d8:0a:00'",b'40',b'64',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'0',b'1',b'18',b'40',b'600',b'80:e8:6f:d8:09:e8',b'0',b'0',b'0',"b'Eng2_02F_A04(-74 dBm),Eng2_01F_A01(-84 dBm),Community-1F-02(-67 dBm)'",b'Community-1F-01',b'0',b'80',b'WUNIST_AAA',b'3',b'433',b'0',1575271669.2154708
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:80:27:48,38:20:56:84:51:c0,80:e8:6f:d8:0a:00'",b'40',b'64',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'0',b'1',b'21',b'40',b'600',b'80:e8:6f:d8:09:e8',b'0',b'0',b'0',"b'Eng2_02F_A04(-74 dBm),Eng2_01F_A01(-84 dBm),Community-1F-02(-67 dBm)'",b'Community-1F-01',b'0',b'80',b'WUNIST_AAA',b'3',b'433',b'0',1575271671.226792
b'1',b'Unknown',b'802.11ac (5GHz)',b'',"b'38:20:56:80:27:48,38:20:56:84:51:c0,80:e8:6f:d8:0a:00'",b'40',b'64',b'tjsdn2560',b'78:f8:82:a4:f9:1d',b'0',b'1',b'23',b'40',b'600',b'80:e8:6f:d8:09:e8',b'0',b'0',b'0',"b'Eng2_02F_A04(-74 dBm),Eng2_01F_A01(-84 dBm),Community-1F-02(-67 dBm)'",b'Community-1F-01',b'0',b'80',b'WUNIST_AAA',b'3',b'433',b'0',1575271673.2429893
