A6,Av,Ch,Chd,Cl,In,Mc,Nm,Rg,Ut,Vm
Not Available,13,161,0,1,13,00:6b:f1:94:fe:e0,111_EXT_AP2,9,17685369,1055708020736
Not Available,16,161,0,2,16,00:6b:f1:ac:fb:b0,111_EXT_AP1,15,17685368,1253571952640
Not Available,21,"(120,116)",0,1,21,cc:46:d6:d2:d9:00,APcc46.d6d2.d900,0,17685645,2450878627840
Not Available,15,161,0,0,15,00:6b:f1:94:fe:00,Out_AP18,17,17685256,1173826174976
Not Available,0,161,0,2,0,cc:46:d6:d2:cc:10,Food-Out-03,6,17685255,2408690745344
Not Available,5,161,0,0,5,cc:46:d6:70:c3:20,Out_AP09,0,17685248,1484297
Not Available,0,161,0,2,0,cc:46:d6:d2:db:40,Out_AP02,7,17685213,2471069483008
Not Available,10,"(153,149)",0,1,10,00:6b:f1:ac:fb:90,Out_AP12,4,17685243,1295011282944
Not Available,7,"(149,153)",0,1,7,cc:46:d6:d2:cc:90,108-Out-01,0,17685226,1030883835904
Not Available,0,161,0,0,0,cc:46:d6:d2:cc:b0,Out_AP17,0,17680219,140351
Not Available,1,"(104,100)",0,1,1,cc:46:d6:70:b1:c0,Power-Out-02,0,17592397,361900605440
Not Available,4,"(149,153)",0,1,2,80:e8:6f:d8:1c:50,Nature_05F-03,3,5774777,27944845312
Not Available,2,"(108,112)",0,0,0,38:20:56:84:55:88,Nature_B1F_A07,1,5706832,5524976640
Not Available,3,"(60,64)",0,0,2,38:20:56:84:53:88,Nature_B1F_A08,0,5706492,66147684352
Not Available,3,"(36,40)",0,5,1,38:20:56:84:53:e8,Eng1_10F_A10,2,5705025,64847843328
Not Available,13,"(36,40)",0,0,0,38:20:56:7e:1c:48,Dorm3_02F_A14-Dorm4_2F_Food,0,5700333,53120741376
Not Available,7,"(120,116)",0,1,5,80:e8:6f:d6:50:b8,Nature_04F-02,3,5506645,104673091584
Not Available,2,"(44,48)",0,0,0,80:e8:6f:d8:15:f8,108-3F-11,1,5459851,99475742720
Not Available,87,"(36,40)",0,0,43,80:e8:6f:d6:40:50,Human_05F-07,3,5324529,90677256192
Not Available,12,"(60,64)",0,2,7,38:20:56:84:4e:50,Info_04F_A02,1,5228612,165378654208
Not Available,7,"(64,60)",0,2,5,38:20:56:84:4c:28,Head_03F_A02,3,5164951,42938228736
Not Available,4,"(149,153)",0,0,2,38:20:56:84:4e:90,Human_02F_A12,2,5095508,33459558400
Not Available,20,161,0,0,20,cc:46:d6:d2:cd:c0,Food-Out-01,11,5035152,483803529216
Not Available,2,"(36,40)",0,1,0,38:20:56:80:27:90,Head_B1F_A09,3,5026037,5567688704
Not Available,5,"(60,64)",0,2,3,80:e8:6f:d6:62:88,Eng1_07F-07,2,4955809,56850280448
Not Available,2,"(112,108)",0,0,0,38:20:56:7e:1e:b0,Low_B1F_A04,0,4789116,24438804480
Not Available,2,"(108,112)",0,0,0,80:e8:6f:d8:5b:78,108-7F-03,0,4701199,10529830912
Not Available,2,"(44,48)",0,3,0,80:e8:6f:d8:33:38,112-4F-06,2,4688869,10000024576
Not Available,57,"(100,104)",0,0,38,80:e8:6f:d8:15:70,Nature_04F-04,2,4664189,3561923840
Not Available,2,"(48,44)",0,1,0,38:20:56:86:16:38,Machine_01F_A03,1,4652886,17280884736
Not Available,4,"(36,40)",0,0,2,94:d4:69:fc:64:80,111-4F-AP8,3,4425014,43363684352
Not Available,2,"(120,116)",0,0,0,80:e8:6f:d8:5f:50,108-7F-10,0,4002152,1048250560
Not Available,2,"(48,44)",0,0,0,80:e8:6f:d6:43:10,108-8F-13,0,4001066,947256384
Not Available,2,"(60,64)",0,0,0,80:e8:6f:d6:40:58,108-8F-03,0,4000814,83214852096
Not Available,2,"(56,52)",0,0,0,80:e8:6f:d8:34:10,108-8F-02,0,4000705,18162937856
Not Available,2,"(52,56)",0,0,0,80:e8:6f:d8:5c:20,108-7F-07,1,4000506,1619691904
Not Available,2,"(157,161)",0,0,0,80:e8:6f:d8:5e:10,108-7F-09,1,4000188,11406584832
Not Available,2,"(120,116)",0,2,0,80:e8:6f:d8:5d:b0,108-8F-04,1,4000161,32295458816
Not Available,2,"(104,100)",0,1,0,80:e8:6f:d8:15:f0,108-8F-15,0,3998611,1968288640
Not Available,2,"(161,157)",0,0,0,80:e8:6f:d8:1b:08,108-8F-11,0,3997855,775400448
Not Available,2,"(40,36)",0,2,0,80:e8:6f:d8:17:a8,108-8F-01,0,3997549,5323059200
Not Available,2,"(48,44)",0,0,0,80:e8:6f:d8:35:60,108-8F-10,0,3997440,8844487680
Not Available,3,"(36,40)",0,4,1,38:ed:18:c6:21:90,108-8F-16,1,3997409,17472118784
Not Available,2,"(120,116)",0,0,0,80:e8:6f:d6:40:60,108-8F-07,0,3997251,14343905280
Not Available,4,"(36,40)",0,0,2,38:ed:18:c6:1f:d0,108-7F-11,2,3996942,566020544
