AP Mac Address,AP Name,CCXV,Capabilities,Channel,ChannelWidth,ChannelwidthAp,ChannelwidthClient,ConnRate,ConnScore,Device Type,Heard By,Hostname,MacAddress,NeighborMac,RSSI,SNR,SSID,SpatialStream,Status,Username,epochTime,maxAprate,maxClientrate,spatialstrmAp,spatialstrmClients,volume
80:e8:6f:d6:44:00,Eng2_04F-05,0,802.11n (2.4GHz),11,20,20,20,130,90,,"Eng2_02F_A03(-79 dBm),Eng2_02F_A04(-87 dBm),Eng2_03F-08(-82 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1e:08,38:20:56:80:27:48,38:20:56:80:54:98",-49,41,WUNIST_AAA,2,38,tjsdn2560,1565816282,144,144,2,2,493953031
80:e8:6f:d6:44:00,Eng2_04F-05,0,802.11n (2.4GHz),11,20,20,20,130,90,,"Eng2_02F_A03(-76 dBm),Eng2_02F_A04(-87 dBm),Eng2_03F-08(-85 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1e:08,38:20:56:80:27:48,38:20:56:80:54:98",-49,41,WUNIST_AAA,2,42,tjsdn2560,1565816286,144,144,2,2,493953031
80:e8:6f:d6:44:00,Eng2_04F-05,0,802.11n (2.4GHz),11,20,20,20,130,90,,"Eng2_02F_A03(-75 dBm),Eng2_02F_A04(-87 dBm),Eng2_03F-08(-85 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1e:08,38:20:56:80:27:48,38:20:56:80:54:98",-49,41,WUNIST_AAA,2,46,tjsdn2560,1565816290,144,144,2,2,493953031
80:e8:6f:d6:44:00,Eng2_04F-05,0,802.11n (2.4GHz),11,20,20,20,130,90,,"Eng2_02F_A03(-74 dBm),Eng2_02F_A04(-87 dBm),Eng2_03F-08(-85 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1e:08,38:20:56:80:27:48,38:20:56:80:54:98",-49,41,WUNIST_AAA,2,51,tjsdn2560,1565816294,144,144,2,2,493953031
80:e8:6f:d6:44:00,Eng2_04F-05,0,802.11n (2.4GHz),11,20,20,20,130,90,,"Eng2_02F_A03(-78 dBm),Eng2_02F_A04(-87 dBm),Eng2_03F-08(-85 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1e:08,38:20:56:80:27:48,38:20:56:80:54:98",-49,41,WUNIST_AAA,2,55,tjsdn2560,1565816298,144,144,2,2,493953031
80:e8:6f:d6:44:00,Eng2_04F-05,0,802.11n (2.4GHz),11,20,20,20,130,90,,"Eng2_02F_A03(-80 dBm),Eng2_02F_A04(-87 dBm),Eng2_03F-08(-85 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1e:08,38:20:56:80:27:48,38:20:56:80:54:98",-49,41,WUNIST_AAA,2,59,tjsdn2560,1565816302,144,144,2,2,493953031
80:e8:6f:d6:44:00,Eng2_04F-05,0,802.11n (2.4GHz),11,20,20,20,130,90,,"Eng2_02F_A03(-86 dBm),Eng2_02F_A04(-87 dBm),Eng2_03F-08(-82 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1e:08,38:20:56:80:27:48,38:20:56:80:54:98",-49,41,WUNIST_AAA,2,63,tjsdn2560,1565816306,144,144,2,2,493953031
80:e8:6f:d6:44:00,Eng2_04F-05,0,802.11n (2.4GHz),11,20,20,20,130,90,,"Eng2_02F_A03(-86 dBm),Eng2_02F_A04(-87 dBm),Eng2_03F-08(-80 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1e:08,38:20:56:80:27:48,38:20:56:80:54:98",-49,41,WUNIST_AAA,2,67,tjsdn2560,1565816310,144,144,2,2,493953031
80:e8:6f:d6:44:00,Eng2_04F-05,0,802.11n (2.4GHz),11,20,20,20,130,90,,"Eng2_02F_A03(-86 dBm),Eng2_02F_A04(-87 dBm),Eng2_03F-08(-84 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1e:08,38:20:56:80:27:48,38:20:56:80:54:98",-49,41,WUNIST_AAA,2,71,tjsdn2560,1565816314,144,144,2,2,493953031
80:e8:6f:d6:44:00,Eng2_04F-05,0,802.11n (2.4GHz),11,20,20,20,130,90,,"Eng2_02F_A03(-86 dBm),Eng2_02F_A04(-87 dBm),Eng2_03F-08(-84 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1e:08,38:20:56:80:27:48,38:20:56:80:54:98",-49,41,WUNIST_AAA,2,75,tjsdn2560,1565816318,144,144,2,2,493953031
80:e8:6f:d6:44:00,Eng2_04F-05,0,802.11n (2.4GHz),11,20,20,20,130,90,,"Eng2_02F_A03(-85 dBm),Eng2_03F-08(-83 dBm),Eng2_06F-07(-88 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1e:08,38:20:56:80:54:98,80:e8:6f:d6:03:b0",-49,41,WUNIST_AAA,2,79,tjsdn2560,1565816322,144,144,2,2,493953031
80:e8:6f:d6:44:00,Eng2_04F-05,0,802.11n (2.4GHz),11,20,20,20,130,90,,"Eng2_02F_A03(-85 dBm),Eng2_03F-08(-88 dBm),Eng2_06F-07(-88 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1e:08,38:20:56:80:54:98,80:e8:6f:d6:03:b0",-49,41,WUNIST_AAA,2,83,tjsdn2560,1565816326,144,144,2,2,493953031
80:e8:6f:d6:44:00,Eng2_04F-05,0,802.11n (2.4GHz),11,20,20,20,130,90,,"Eng2_02F_A03(-78 dBm),Eng2_03F-08(-86 dBm),Eng2_06F-07(-87 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1e:08,38:20:56:80:54:98,80:e8:6f:d6:03:b0",-49,41,WUNIST_AAA,2,87,tjsdn2560,1565816330,144,144,2,2,493953031
80:e8:6f:d6:44:00,Eng2_04F-05,0,802.11n (2.4GHz),11,20,20,20,130,90,,"Eng2_02F_A03(-71 dBm),Eng2_02F_A04(-86 dBm),Eng2_03F-08(-87 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1e:08,38:20:56:80:27:48,38:20:56:80:54:98",-49,41,WUNIST_AAA,2,91,tjsdn2560,1565816334,144,144,2,2,493953031
80:e8:6f:d6:44:00,Eng2_04F-05,0,802.11n (2.4GHz),11,20,20,20,130,90,,"Eng2_02F_A03(-72 dBm),Eng2_02F_A04(-86 dBm),Eng2_03F-08(-88 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1e:08,38:20:56:80:27:48,38:20:56:80:54:98",-49,41,WUNIST_AAA,2,95,tjsdn2560,1565816338,144,144,2,2,493953031
80:e8:6f:d6:44:00,Eng2_04F-05,0,802.11n (2.4GHz),11,20,20,20,130,90,,"Eng2_02F_A03(-80 dBm),Eng2_02F_A04(-86 dBm),Eng2_03F-08(-83 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1e:08,38:20:56:80:27:48,38:20:56:80:54:98",-49,41,WUNIST_AAA,2,99,tjsdn2560,1565816342,144,144,2,2,493953031
80:e8:6f:d6:44:00,Eng2_04F-05,0,802.11n (2.4GHz),11,20,20,20,130,90,,"Eng2_02F_A03(-85 dBm),Eng2_02F_A04(-86 dBm),Eng2_03F-08(-79 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1e:08,38:20:56:80:27:48,38:20:56:80:54:98",-49,41,WUNIST_AAA,2,103,tjsdn2560,1565816346,144,144,2,2,493953031
80:e8:6f:d6:44:00,Eng2_04F-05,0,802.11n (2.4GHz),11,20,20,20,130,90,,"Eng2_02F_A03(-82 dBm),Eng2_02F_A04(-86 dBm),Eng2_03F-08(-79 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1e:08,38:20:56:80:27:48,38:20:56:80:54:98",-49,41,WUNIST_AAA,2,107,tjsdn2560,1565816350,144,144,2,2,493953031
80:e8:6f:d6:44:00,Eng2_04F-05,0,802.11n (2.4GHz),11,20,20,20,130,90,,"Eng2_02F_A03(-84 dBm),Eng2_02F_A04(-86 dBm),Eng2_03F-08(-79 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1e:08,38:20:56:80:27:48,38:20:56:80:54:98",-49,41,WUNIST_AAA,2,111,tjsdn2560,1565816354,144,144,2,2,493953031
80:e8:6f:d6:44:00,Eng2_04F-05,0,802.11n (2.4GHz),11,20,20,20,130,90,,"Eng2_02F_A03(-83 dBm),Eng2_03F-08(-80 dBm),Eng2_06F-06(-89 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1e:08,38:20:56:80:54:98,80:e8:6f:d6:02:d8",-49,41,WUNIST_AAA,2,115,tjsdn2560,1565816358,144,144,2,2,493953031
80:e8:6f:d6:44:00,Eng2_04F-05,0,802.11n (2.4GHz),11,20,20,20,130,90,,"Eng2_02F_A03(-83 dBm),Eng2_03F-08(-80 dBm),Eng2_06F-06(-89 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1e:08,38:20:56:80:54:98,80:e8:6f:d6:02:d8",-49,41,WUNIST_AAA,2,119,tjsdn2560,1565816362,144,144,2,2,493953031
