AP Mac Address,AP Name,CCXV,Capabilities,Channel,ChannelWidth,ChannelwidthAp,ChannelwidthClient,ConnRate,ConnScore,Device Type,Heard By,Hostname,MacAddress,NeighborMac,RSSI,SNR,SSID,SpatialStream,Status,Username,epochTime,maxAprate,maxClientrate,spatialstrmAp,spatialstrmClients,volume
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-59,33,WUNIST_AAA,3,65,tjsdn2560,1565812801.817874,400,867,2,2,195275940
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-59,33,WUNIST_AAA,3,69,tjsdn2560,1565812805.834039,400,867,2,2,195275940
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-59,33,WUNIST_AAA,3,73,tjsdn2560,1565812809.976134,400,867,2,2,195275940
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-59,33,WUNIST_AAA,3,77,tjsdn2560,1565812813.991138,400,867,2,2,195275940
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-59,33,WUNIST_AAA,3,81,tjsdn2560,1565812818.011548,400,867,2,2,195275940
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-59,33,WUNIST_AAA,3,85,tjsdn2560,1565812822.030021,400,867,2,2,195275940
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-59,33,WUNIST_AAA,3,89,tjsdn2560,1565812826.045007,400,867,2,2,195275940
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-59,33,WUNIST_AAA,3,93,tjsdn2560,1565812830.068537,400,867,2,2,195275940
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-59,33,WUNIST_AAA,3,97,tjsdn2560,1565812834.086077,400,867,2,2,195275940
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-59,33,WUNIST_AAA,3,101,tjsdn2560,1565812838.103605,400,867,2,2,195275940
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-59,33,WUNIST_AAA,3,105,tjsdn2560,1565812842.121035,400,867,2,2,195275940
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-59,33,WUNIST_AAA,3,109,tjsdn2560,1565812846.142771,400,867,2,2,195275940
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-58,34,WUNIST_AAA,3,113,tjsdn2560,1565812850.162101,400,867,2,2,229741118
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-58,34,WUNIST_AAA,3,117,tjsdn2560,1565812854.178099,400,867,2,2,229741118
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-58,34,WUNIST_AAA,3,121,tjsdn2560,1565812858.195117,400,867,2,2,229741118
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-58,34,WUNIST_AAA,3,125,tjsdn2560,1565812862.21735,400,867,2,2,229741118
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-58,34,WUNIST_AAA,3,129,tjsdn2560,1565812866.230245,400,867,2,2,229741118
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-58,34,WUNIST_AAA,3,133,tjsdn2560,1565812870.246368,400,867,2,2,229741118
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-58,34,WUNIST_AAA,3,137,tjsdn2560,1565812874.260455,400,867,2,2,229741118
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-58,34,WUNIST_AAA,3,141,tjsdn2560,1565812878.276363,400,867,2,2,229741118
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-58,34,WUNIST_AAA,3,145,tjsdn2560,1565812882.295364,400,867,2,2,229741118
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-58,34,WUNIST_AAA,3,149,tjsdn2560,1565812886.310599,400,867,2,2,229741118
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-58,34,WUNIST_AAA,3,153,tjsdn2560,1565812890.328882,400,867,2,2,229741118
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-58,34,WUNIST_AAA,3,158,tjsdn2560,1565812894.348739,400,867,2,2,229741118
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-58,34,WUNIST_AAA,3,162,tjsdn2560,1565812898.375115,400,867,2,2,229741118
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-58,34,WUNIST_AAA,3,165,tjsdn2560,1565812902.393012,400,867,2,2,229741118
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-58,34,WUNIST_AAA,3,169,tjsdn2560,1565812906.411633,400,867,2,2,229741118
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-58,34,WUNIST_AAA,3,173,tjsdn2560,1565812910.435695,400,867,2,2,229741118
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-58,34,WUNIST_AAA,3,177,tjsdn2560,1565812914.452316,400,867,2,2,229741118
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-58,34,WUNIST_AAA,3,181,tjsdn2560,1565812918.469861,400,867,2,2,229741118
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-58,34,WUNIST_AAA,3,185,tjsdn2560,1565812922.492889,400,867,2,2,229741118
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-58,34,WUNIST_AAA,3,190,tjsdn2560,1565812926.509497,400,867,2,2,229741118
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-80 dBm),Eng1_02F_A03(-83 dBm),Eng1_02F_A02(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-58,34,WUNIST_AAA,3,194,tjsdn2560,1565812930.53797,400,867,2,2,229741118
